FileName,Frame,ParticleCount
set2_003.nd2_crop.tif,6,599

set2_003.nd2_crop.tif,15,572

set2_003.nd2_crop.tif,24,634

set2_003.nd2_crop.tif,33,639

set2_003.nd2_crop.tif,42,654

set2_003.nd2_crop.tif,51,672

set2_003.nd2_crop.tif,60,671

set2_003.nd2_crop.tif,69,722

set2_003.nd2_crop.tif,78,669

set2_003.nd2_crop.tif,87,687

G_AMP_003.nd2_crop.tif,7,884

G_AMP_003.nd2_crop.tif,18,853

G_AMP_003.nd2_crop.tif,29,903

G_AMP_003.nd2_crop.tif,40,925

G_AMP_003.nd2_crop.tif,51,917

G_AMP_003.nd2_crop.tif,62,951

G_AMP_003.nd2_crop.tif,73,921

G_AMP_003.nd2_crop.tif,84,927

G_AMP_003.nd2_crop.tif,95,956

G_AMP_003.nd2_crop.tif,106,944

G_AP_001.nd2_crop.tif,6,112

G_AP_001.nd2_crop.tif,16,171

G_AP_001.nd2_crop.tif,27,231

G_AP_001.nd2_crop.tif,37,209

G_AP_001.nd2_crop.tif,47,242

G_AP_001.nd2_crop.tif,57,305

G_AP_001.nd2_crop.tif,67,341

G_AP_001.nd2_crop.tif,78,395

G_AP_001.nd2_crop.tif,88,393

G_AP_001.nd2_crop.tif,98,447

Middle_Set1035.nd2_crop.tif,6,1106

Middle_Set1035.nd2_crop.tif,15,1103

Middle_Set1035.nd2_crop.tif,25,1113

Middle_Set1035.nd2_crop.tif,35,1093

Middle_Set1035.nd2_crop.tif,44,1117

Middle_Set1035.nd2_crop.tif,54,1093

Middle_Set1035.nd2_crop.tif,63,1122

Middle_Set1035.nd2_crop.tif,73,1024

Middle_Set1035.nd2_crop.tif,83,1087

Middle_Set1035.nd2_crop.tif,92,1048

Middle_Set1008.nd2_crop.tif,6,1067

Middle_Set1008.nd2_crop.tif,15,1069

Middle_Set1008.nd2_crop.tif,24,1118

Middle_Set1008.nd2_crop.tif,34,1035

Middle_Set1008.nd2_crop.tif,43,1066

Middle_Set1008.nd2_crop.tif,52,1036

Middle_Set1008.nd2_crop.tif,61,1079

Middle_Set1008.nd2_crop.tif,71,1079

Middle_Set1008.nd2_crop.tif,80,1095

Middle_Set1008.nd2_crop.tif,89,1039

Middle_Set1017.nd2_crop.tif,6,1140

Middle_Set1017.nd2_crop.tif,15,1127

Middle_Set1017.nd2_crop.tif,24,1149

Middle_Set1017.nd2_crop.tif,33,1128

Middle_Set1017.nd2_crop.tif,42,1151

Middle_Set1017.nd2_crop.tif,51,1145

Middle_Set1017.nd2_crop.tif,60,1145

Middle_Set1017.nd2_crop.tif,69,1149

Middle_Set1017.nd2_crop.tif,78,1149

Middle_Set1017.nd2_crop.tif,87,1143

