FileName,TrackLength,Frequency
tracked_Traj_set2_003.nd2_crop,2.5,0
tracked_Traj_set2_003.nd2_crop,7.5,0
tracked_Traj_set2_003.nd2_crop,12.5,183
tracked_Traj_set2_003.nd2_crop,17.5,54
tracked_Traj_set2_003.nd2_crop,22.5,27
tracked_Traj_set2_003.nd2_crop,27.5,7
tracked_Traj_set2_003.nd2_crop,32.5,11
tracked_Traj_set2_003.nd2_crop,37.5,8
tracked_Traj_set2_003.nd2_crop,42.5,5
tracked_Traj_set2_003.nd2_crop,47.5,2
tracked_Traj_set2_003.nd2_crop,52.5,2
tracked_Traj_set2_003.nd2_crop,57.5,2
tracked_Traj_set2_003.nd2_crop,62.5,2
tracked_Traj_set2_003.nd2_crop,67.5,0
tracked_Traj_set2_003.nd2_crop,72.5,1
tracked_Traj_set2_003.nd2_crop,77.5,2
tracked_Traj_set2_003.nd2_crop,82.5,1
tracked_Traj_set2_003.nd2_crop,87.5,2
tracked_Traj_set2_003.nd2_crop,92.5,4
tracked_Traj_set2_003.nd2_crop,97.5,0
tracked_Traj_G_AP_001.nd2_crop,2.5,0
tracked_Traj_G_AP_001.nd2_crop,7.5,0
tracked_Traj_G_AP_001.nd2_crop,12.5,183
tracked_Traj_G_AP_001.nd2_crop,17.5,59
tracked_Traj_G_AP_001.nd2_crop,22.5,23
tracked_Traj_G_AP_001.nd2_crop,27.5,9
tracked_Traj_G_AP_001.nd2_crop,32.5,5
tracked_Traj_G_AP_001.nd2_crop,37.5,3
tracked_Traj_G_AP_001.nd2_crop,42.5,1
tracked_Traj_G_AP_001.nd2_crop,47.5,1
tracked_Traj_G_AP_001.nd2_crop,52.5,1
tracked_Traj_G_AP_001.nd2_crop,57.5,1
tracked_Traj_G_AP_001.nd2_crop,62.5,0
tracked_Traj_G_AP_001.nd2_crop,67.5,1
tracked_Traj_G_AP_001.nd2_crop,72.5,0
tracked_Traj_G_AP_001.nd2_crop,77.5,0
tracked_Traj_G_AP_001.nd2_crop,82.5,1
tracked_Traj_G_AP_001.nd2_crop,87.5,0
tracked_Traj_G_AP_001.nd2_crop,92.5,1
tracked_Traj_G_AP_001.nd2_crop,97.5,0
tracked_Traj_Middle_Set1035.nd2_crop,2.5,0
tracked_Traj_Middle_Set1035.nd2_crop,7.5,0
tracked_Traj_Middle_Set1035.nd2_crop,12.5,223
tracked_Traj_Middle_Set1035.nd2_crop,17.5,66
tracked_Traj_Middle_Set1035.nd2_crop,22.5,23
tracked_Traj_Middle_Set1035.nd2_crop,27.5,15
tracked_Traj_Middle_Set1035.nd2_crop,32.5,4
tracked_Traj_Middle_Set1035.nd2_crop,37.5,0
tracked_Traj_Middle_Set1035.nd2_crop,42.5,5
tracked_Traj_Middle_Set1035.nd2_crop,47.5,0
tracked_Traj_Middle_Set1035.nd2_crop,52.5,0
tracked_Traj_Middle_Set1035.nd2_crop,57.5,3
tracked_Traj_Middle_Set1035.nd2_crop,62.5,0
tracked_Traj_Middle_Set1035.nd2_crop,67.5,0
tracked_Traj_Middle_Set1035.nd2_crop,72.5,1
tracked_Traj_Middle_Set1035.nd2_crop,77.5,0
tracked_Traj_Middle_Set1035.nd2_crop,82.5,1
tracked_Traj_Middle_Set1035.nd2_crop,87.5,0
tracked_Traj_Middle_Set1035.nd2_crop,92.5,0
tracked_Traj_Middle_Set1035.nd2_crop,97.5,2
tracked_Traj_Middle_Set1008.nd2_crop,2.5,0
tracked_Traj_Middle_Set1008.nd2_crop,7.5,0
tracked_Traj_Middle_Set1008.nd2_crop,12.5,196
tracked_Traj_Middle_Set1008.nd2_crop,17.5,56
tracked_Traj_Middle_Set1008.nd2_crop,22.5,21
tracked_Traj_Middle_Set1008.nd2_crop,27.5,11
tracked_Traj_Middle_Set1008.nd2_crop,32.5,6
tracked_Traj_Middle_Set1008.nd2_crop,37.5,4
tracked_Traj_Middle_Set1008.nd2_crop,42.5,3
tracked_Traj_Middle_Set1008.nd2_crop,47.5,3
tracked_Traj_Middle_Set1008.nd2_crop,52.5,1
tracked_Traj_Middle_Set1008.nd2_crop,57.5,1
tracked_Traj_Middle_Set1008.nd2_crop,62.5,3
tracked_Traj_Middle_Set1008.nd2_crop,67.5,2
tracked_Traj_Middle_Set1008.nd2_crop,72.5,2
tracked_Traj_Middle_Set1008.nd2_crop,77.5,0
tracked_Traj_Middle_Set1008.nd2_crop,82.5,0
tracked_Traj_Middle_Set1008.nd2_crop,87.5,0
tracked_Traj_Middle_Set1008.nd2_crop,92.5,3
tracked_Traj_Middle_Set1008.nd2_crop,97.5,0
tracked_Traj_Middle_Set1017.nd2_crop,2.5,0
tracked_Traj_Middle_Set1017.nd2_crop,7.5,0
