FileName,Frame,ParticleCount
Set2_003.nd2_crop.tif,7,635

Set2_003.nd2_crop.tif,18,674

Set2_003.nd2_crop.tif,29,630

Set2_003.nd2_crop.tif,40,667

Set2_003.nd2_crop.tif,51,677

Set2_003.nd2_crop.tif,63,683

Set2_003.nd2_crop.tif,74,691

Set2_003.nd2_crop.tif,85,690

Set2_003.nd2_crop.tif,96,756

Set2_003.nd2_crop.tif,107,714

Set1_001.nd2_crop.tif,6,661

Set1_001.nd2_crop.tif,17,740

Set1_001.nd2_crop.tif,28,768

Set1_001.nd2_crop.tif,38,822

Set1_001.nd2_crop.tif,49,832

Set1_001.nd2_crop.tif,60,847

Set1_001.nd2_crop.tif,71,919

Set1_001.nd2_crop.tif,81,876

Set1_001.nd2_crop.tif,92,879

Set1_001.nd2_crop.tif,103,951

Set2_005.nd2_crop.tif,2,371

Set2_005.nd2_crop.tif,3,349

Set2_005.nd2_crop.tif,4,357

Set2_005.nd2_crop.tif,5,350

Set2_005.nd2_crop.tif,6,370

Set2_005.nd2_crop.tif,7,356

Set2_005.nd2_crop.tif,7,356

Set1_006.nd2_crop.tif,6,1114

Set1_006.nd2_crop.tif,17,1141

Set1_006.nd2_crop.tif,28,1127

Set1_006.nd2_crop.tif,39,1115

Set1_006.nd2_crop.tif,50,1134

Set1_006.nd2_crop.tif,61,1154

Set1_006.nd2_crop.tif,72,1141

Set1_006.nd2_crop.tif,83,1161

Set1_006.nd2_crop.tif,94,1128

Set1_006.nd2_crop.tif,105,1176

Set1_002.nd2_crop.tif,5,518

Set1_002.nd2_crop.tif,14,537

Set1_002.nd2_crop.tif,23,553

Set1_002.nd2_crop.tif,31,501

Set1_002.nd2_crop.tif,40,550

Set1_002.nd2_crop.tif,49,464

Set1_002.nd2_crop.tif,58,547

Set1_002.nd2_crop.tif,66,598

Set1_002.nd2_crop.tif,75,521

Set1_002.nd2_crop.tif,84,560

Set1_001.nd2_membrane_.tif_crop.tif,1,42

Set1_002.nd2_membrane_.tif_crop.tif,1,50

Set1_006.nd2_membrane_.tif_crop.tif,1,119

Set2_003.nd2_membrane_.tif_crop.tif,1,51

Set2_005.nd2_membrane_.tif_crop.tif,1,115

