FileName,MeanParticlesPerFrame,StdParticlesPerFrame,FramesSampled,TotalFrames,MedianParticlesPerFrame
Set2_003.nd2_crop.tif,681.70,36.32,10,112,680.00

Set1_001.nd2_crop.tif,829.50,86.88,10,107,839.50

Set2_005.nd2_crop.tif,358.43,8.81,7,7,356.00

Set1_006.nd2_crop.tif,1139.10,19.94,10,109,1137.50

Set1_002.nd2_crop.tif,534.90,36.47,10,87,542.00

Set1_001.nd2_membrane_.tif_crop.tif,42.00,NaN,1,1,42.00

Set1_002.nd2_membrane_.tif_crop.tif,50.00,NaN,1,1,50.00

Set1_006.nd2_membrane_.tif_crop.tif,119.00,NaN,1,1,119.00

Set2_003.nd2_membrane_.tif_crop.tif,51.00,NaN,1,1,51.00

Set2_005.nd2_membrane_.tif_crop.tif,115.00,NaN,1,1,115.00

