FileName,Frame,ParticleCount
Set2_pre.nd2_crop.tif,16,860

Set2_pre.nd2_crop.tif,46,832

Set2_pre.nd2_crop.tif,76,805

Set2_pre.nd2_crop.tif,106,807

Set2_pre.nd2_crop.tif,136,841

Set2_pre.nd2_crop.tif,166,862

Set2_pre.nd2_crop.tif,196,807

Set2_pre.nd2_crop.tif,226,826

Set2_pre.nd2_crop.tif,256,790

Set2_pre.nd2_crop.tif,286,794

Set2_pre001.nd2_crop.tif,16,542

Set2_pre001.nd2_crop.tif,46,505

Set2_pre001.nd2_crop.tif,76,593

Set2_pre001.nd2_crop.tif,106,617

Set2_pre001.nd2_crop.tif,136,610

Set2_pre001.nd2_crop.tif,166,621

Set2_pre001.nd2_crop.tif,196,581

Set2_pre001.nd2_crop.tif,226,683

Set2_pre001.nd2_crop.tif,256,614

Set2_pre001.nd2_crop.tif,286,625

Set2_pre002.nd2_crop.tif,16,583

Set2_pre002.nd2_crop.tif,46,594

Set2_pre002.nd2_crop.tif,76,668

Set2_pre002.nd2_crop.tif,106,679

Set2_pre002.nd2_crop.tif,136,698

Set2_pre002.nd2_crop.tif,166,710

Set2_pre002.nd2_crop.tif,196,671

Set2_pre002.nd2_crop.tif,226,699

Set2_pre002.nd2_crop.tif,256,710

Set2_pre002.nd2_crop.tif,286,721

Set2_pre003.nd2_crop.tif,16,565

Set2_pre003.nd2_crop.tif,46,587

Set2_pre003.nd2_crop.tif,76,597

Set2_pre003.nd2_crop.tif,106,607

Set2_pre003.nd2_crop.tif,136,623

Set2_pre003.nd2_crop.tif,166,633

Set2_pre003.nd2_crop.tif,196,661

Set2_pre003.nd2_crop.tif,226,646

Set2_pre003.nd2_crop.tif,256,642

Set2_pre003.nd2_crop.tif,286,701

Set2_pre004.nd2_crop.tif,16,744

Set2_pre004.nd2_crop.tif,46,738

Set2_pre004.nd2_crop.tif,76,781

Set2_pre004.nd2_crop.tif,106,780

Set2_pre004.nd2_crop.tif,136,770

Set2_pre004.nd2_crop.tif,166,787

Set2_pre004.nd2_crop.tif,196,807

Set2_pre004.nd2_crop.tif,226,815

Set2_pre004.nd2_crop.tif,256,828

Set2_pre004.nd2_crop.tif,286,816

Set2_pre005.nd2_crop.tif,16,517

Set2_pre005.nd2_crop.tif,46,549

Set2_pre005.nd2_crop.tif,76,494

Set2_pre005.nd2_crop.tif,106,514

Set2_pre005.nd2_crop.tif,136,499

Set2_pre005.nd2_crop.tif,166,535

Set2_pre005.nd2_crop.tif,196,543

Set2_pre005.nd2_crop.tif,226,509

Set2_pre005.nd2_crop.tif,256,490

Set2_pre005.nd2_crop.tif,286,531

Set2_pre006.nd2_crop.tif,16,756

Set2_pre006.nd2_crop.tif,46,776

Set2_pre006.nd2_crop.tif,76,799

Set2_pre006.nd2_crop.tif,106,770

Set2_pre006.nd2_crop.tif,136,782

Set2_pre006.nd2_crop.tif,166,818

Set2_pre006.nd2_crop.tif,196,775

Set2_pre006.nd2_crop.tif,226,828

Set2_pre006.nd2_crop.tif,256,827

Set2_pre006.nd2_crop.tif,286,786

