FileName,TrackLength,Frequency
tracked_Traj_Set2_pre.nd2_crop,2.5,0
tracked_Traj_Set2_pre.nd2_crop,7.5,0
tracked_Traj_Set2_pre.nd2_crop,12.5,474
tracked_Traj_Set2_pre.nd2_crop,17.5,163
tracked_Traj_Set2_pre.nd2_crop,22.5,62
tracked_Traj_Set2_pre.nd2_crop,27.5,35
tracked_Traj_Set2_pre.nd2_crop,32.5,26
tracked_Traj_Set2_pre.nd2_crop,37.5,19
tracked_Traj_Set2_pre.nd2_crop,42.5,15
tracked_Traj_Set2_pre.nd2_crop,47.5,8
tracked_Traj_Set2_pre.nd2_crop,52.5,14
tracked_Traj_Set2_pre.nd2_crop,57.5,3
tracked_Traj_Set2_pre.nd2_crop,62.5,7
tracked_Traj_Set2_pre.nd2_crop,67.5,4
tracked_Traj_Set2_pre.nd2_crop,72.5,4
tracked_Traj_Set2_pre.nd2_crop,77.5,2
tracked_Traj_Set2_pre.nd2_crop,82.5,5
tracked_Traj_Set2_pre.nd2_crop,87.5,2
tracked_Traj_Set2_pre.nd2_crop,92.5,3
tracked_Traj_Set2_pre.nd2_crop,97.5,2
tracked_Traj_Set2_pre001.nd2_crop,2.5,0
tracked_Traj_Set2_pre001.nd2_crop,7.5,0
tracked_Traj_Set2_pre001.nd2_crop,12.5,268
tracked_Traj_Set2_pre001.nd2_crop,17.5,103
tracked_Traj_Set2_pre001.nd2_crop,22.5,61
tracked_Traj_Set2_pre001.nd2_crop,27.5,36
tracked_Traj_Set2_pre001.nd2_crop,32.5,16
tracked_Traj_Set2_pre001.nd2_crop,37.5,12
tracked_Traj_Set2_pre001.nd2_crop,42.5,11
tracked_Traj_Set2_pre001.nd2_crop,47.5,9
tracked_Traj_Set2_pre001.nd2_crop,52.5,4
tracked_Traj_Set2_pre001.nd2_crop,57.5,3
tracked_Traj_Set2_pre001.nd2_crop,62.5,5
tracked_Traj_Set2_pre001.nd2_crop,67.5,4
tracked_Traj_Set2_pre001.nd2_crop,72.5,4
tracked_Traj_Set2_pre001.nd2_crop,77.5,4
tracked_Traj_Set2_pre001.nd2_crop,82.5,2
tracked_Traj_Set2_pre001.nd2_crop,87.5,4
tracked_Traj_Set2_pre001.nd2_crop,92.5,3
tracked_Traj_Set2_pre001.nd2_crop,97.5,1
tracked_Traj_Set2_pre002.nd2_crop,2.5,0
tracked_Traj_Set2_pre002.nd2_crop,7.5,0
tracked_Traj_Set2_pre002.nd2_crop,12.5,526
tracked_Traj_Set2_pre002.nd2_crop,17.5,163
tracked_Traj_Set2_pre002.nd2_crop,22.5,79
tracked_Traj_Set2_pre002.nd2_crop,27.5,41
tracked_Traj_Set2_pre002.nd2_crop,32.5,31
tracked_Traj_Set2_pre002.nd2_crop,37.5,16
tracked_Traj_Set2_pre002.nd2_crop,42.5,18
tracked_Traj_Set2_pre002.nd2_crop,47.5,9
tracked_Traj_Set2_pre002.nd2_crop,52.5,11
tracked_Traj_Set2_pre002.nd2_crop,57.5,6
tracked_Traj_Set2_pre002.nd2_crop,62.5,4
tracked_Traj_Set2_pre002.nd2_crop,67.5,5
tracked_Traj_Set2_pre002.nd2_crop,72.5,4
tracked_Traj_Set2_pre002.nd2_crop,77.5,6
tracked_Traj_Set2_pre002.nd2_crop,82.5,6
tracked_Traj_Set2_pre002.nd2_crop,87.5,4
tracked_Traj_Set2_pre002.nd2_crop,92.5,4
tracked_Traj_Set2_pre002.nd2_crop,97.5,1
tracked_Traj_Set2_pre003.nd2_crop,2.5,0
tracked_Traj_Set2_pre003.nd2_crop,7.5,0
tracked_Traj_Set2_pre003.nd2_crop,12.5,469
tracked_Traj_Set2_pre003.nd2_crop,17.5,185
tracked_Traj_Set2_pre003.nd2_crop,22.5,110
tracked_Traj_Set2_pre003.nd2_crop,27.5,75
tracked_Traj_Set2_pre003.nd2_crop,32.5,38
tracked_Traj_Set2_pre003.nd2_crop,37.5,45
tracked_Traj_Set2_pre003.nd2_crop,42.5,35
tracked_Traj_Set2_pre003.nd2_crop,47.5,12
tracked_Traj_Set2_pre003.nd2_crop,52.5,29
tracked_Traj_Set2_pre003.nd2_crop,57.5,16
tracked_Traj_Set2_pre003.nd2_crop,62.5,14
tracked_Traj_Set2_pre003.nd2_crop,67.5,10
tracked_Traj_Set2_pre003.nd2_crop,72.5,9
tracked_Traj_Set2_pre003.nd2_crop,77.5,11
tracked_Traj_Set2_pre003.nd2_crop,82.5,6
tracked_Traj_Set2_pre003.nd2_crop,87.5,9
tracked_Traj_Set2_pre003.nd2_crop,92.5,8
tracked_Traj_Set2_pre003.nd2_crop,97.5,7
tracked_Traj_Set2_pre004.nd2_crop,2.5,0
tracked_Traj_Set2_pre004.nd2_crop,7.5,0
tracked_Traj_Set2_pre004.nd2_crop,12.5,497
tracked_Traj_Set2_pre004.nd2_crop,17.5,148
tracked_Traj_Set2_pre004.nd2_crop,22.5,57
tracked_Traj_Set2_pre004.nd2_crop,27.5,28
tracked_Traj_Set2_pre004.nd2_crop,32.5,23
tracked_Traj_Set2_pre004.nd2_crop,37.5,8
tracked_Traj_Set2_pre004.nd2_crop,42.5,15
tracked_Traj_Set2_pre004.nd2_crop,47.5,9
tracked_Traj_Set2_pre004.nd2_crop,52.5,5
tracked_Traj_Set2_pre004.nd2_crop,57.5,8
tracked_Traj_Set2_pre004.nd2_crop,62.5,1
tracked_Traj_Set2_pre004.nd2_crop,67.5,2
tracked_Traj_Set2_pre004.nd2_crop,72.5,3
tracked_Traj_Set2_pre004.nd2_crop,77.5,5
tracked_Traj_Set2_pre004.nd2_crop,82.5,0
tracked_Traj_Set2_pre004.nd2_crop,87.5,1
tracked_Traj_Set2_pre004.nd2_crop,92.5,4
tracked_Traj_Set2_pre004.nd2_crop,97.5,3
tracked_Traj_Set2_pre005.nd2_crop,2.5,0
tracked_Traj_Set2_pre005.nd2_crop,7.5,0
tracked_Traj_Set2_pre005.nd2_crop,12.5,485
tracked_Traj_Set2_pre005.nd2_crop,17.5,228
tracked_Traj_Set2_pre005.nd2_crop,22.5,137
tracked_Traj_Set2_pre005.nd2_crop,27.5,66
tracked_Traj_Set2_pre005.nd2_crop,32.5,67
tracked_Traj_Set2_pre005.nd2_crop,37.5,40
tracked_Traj_Set2_pre005.nd2_crop,42.5,33
tracked_Traj_Set2_pre005.nd2_crop,47.5,16
tracked_Traj_Set2_pre005.nd2_crop,52.5,27
tracked_Traj_Set2_pre005.nd2_crop,57.5,16
tracked_Traj_Set2_pre005.nd2_crop,62.5,5
tracked_Traj_Set2_pre005.nd2_crop,67.5,8
tracked_Traj_Set2_pre005.nd2_crop,72.5,9
tracked_Traj_Set2_pre005.nd2_crop,77.5,7
