FileName,N_total_tracks,N_short_excl,N_long_excl,frac_over20fr,N_analysed,MeanTrackLength,MedianD,MeanD,StdD,SEMD,MinD,MaxD,QualityFlag,MeanParticlesPerFrame
Traj_Early.nd2_crop,45766,45669,19,0.0004,78,2.26401695581873,0.0702705603746358,0.08910261044763446,0.08315214036556191,0.009476065849912164,-0.04036934670927616,0.4004307746139553,PASS,
Traj_Early001.nd2_crop,25134,24619,84,0.0033,431,3.0618683854539666,0.07874683695118076,0.10138641965280985,0.09062354895793931,0.004370255600457516,-0.032230814068433346,0.5962666743407247,PASS,
Traj_Early002.nd2_crop,19070,18775,46,0.0024,249,3.117252228631358,0.08310109023529415,0.1099064785702238,0.09515250941264074,0.006042190389896098,-0.013747942359940965,0.451767297197379,PASS,
Traj_Early003.nd2_crop,19106,18770,55,0.0029,281,3.182560452213964,0.08393202977088883,0.10983858052966017,0.09964658880040626,0.0059550226878412865,-0.045314369429507194,0.5641330284786044,PASS,
Traj_Early004.nd2_crop,24116,23675,81,0.0034,360,3.132484657488804,0.05651235702153482,0.08827094028775839,0.09340181351752021,0.004929559176266828,-0.02908012664022683,0.5187722637002397,PASS,
Traj_Early005.nd2_crop,23604,22944,148,0.0063,512,3.2684290798169804,0.02625882680263576,0.0562830954118426,0.07290633445102415,0.0032251863530511258,-0.04692658749815683,0.4447430482265576,PASS,
Traj_Early006.nd2_crop,21397,20896,89,0.0042,412,3.1668458195074076,0.04989841771817133,0.07563603157465283,0.08045574040715742,0.003968589005804515,-0.03750898682191718,0.4007593929541651,PASS,
Traj_Early007.nd2_crop,20671,20132,95,0.0046,444,3.402641381645784,0.06382314959356927,0.09470396917820265,0.09486605412357293,0.0045072222517404115,-0.021427823538385283,0.7247180742997458,PASS,
Traj_Early008.nd2_crop,25229,24749,70,0.0028,410,3.080938602401998,0.05071032064072076,0.08231207399394197,0.09133014169278282,0.004515984861630275,-0.04179186211828551,0.4704855568856067,PASS,
Traj_Early009.nd2_crop,21419,20927,107,0.005,385,3.252532797983099,0.048717616435464864,0.07660275926972318,0.08253873616350425,0.004212037241974805,-0.020742854738213714,0.5746729413269624,PASS,
