FileName,Frame,ParticleCount
Early.nd2_crop.tif,16,771

Early.nd2_crop.tif,46,780

Early.nd2_crop.tif,76,742

Early.nd2_crop.tif,106,744

Early.nd2_crop.tif,136,787

Early.nd2_crop.tif,166,713

Early.nd2_crop.tif,196,738

Early.nd2_crop.tif,226,715

Early.nd2_crop.tif,256,754

Early.nd2_crop.tif,286,709

Early001.nd2_crop.tif,16,238

Early001.nd2_crop.tif,46,259

Early001.nd2_crop.tif,76,236

Early001.nd2_crop.tif,106,265

Early001.nd2_crop.tif,136,271

Early001.nd2_crop.tif,166,282

Early001.nd2_crop.tif,196,266

Early001.nd2_crop.tif,226,299

Early001.nd2_crop.tif,256,278

Early001.nd2_crop.tif,286,277

Early002.nd2_crop.tif,16,375

Early002.nd2_crop.tif,46,383

Early002.nd2_crop.tif,76,391

Early002.nd2_crop.tif,106,405

Early002.nd2_crop.tif,136,417

Early002.nd2_crop.tif,166,427

Early002.nd2_crop.tif,196,405

Early002.nd2_crop.tif,226,421

Early002.nd2_crop.tif,256,369

Early002.nd2_crop.tif,286,430

Early003.nd2_crop.tif,16,327

Early003.nd2_crop.tif,46,340

Early003.nd2_crop.tif,76,354

Early003.nd2_crop.tif,106,369

Early003.nd2_crop.tif,136,359

Early003.nd2_crop.tif,166,358

Early003.nd2_crop.tif,196,357

Early003.nd2_crop.tif,226,352

Early003.nd2_crop.tif,256,335

Early003.nd2_crop.tif,286,362

Early004.nd2_crop.tif,16,473

Early004.nd2_crop.tif,46,526

Early004.nd2_crop.tif,76,509

Early004.nd2_crop.tif,106,545

Early004.nd2_crop.tif,136,512

Early004.nd2_crop.tif,166,494

Early004.nd2_crop.tif,196,508

Early004.nd2_crop.tif,226,515

Early004.nd2_crop.tif,256,560

Early004.nd2_crop.tif,286,522

Early005.nd2_crop.tif,16,445

Early005.nd2_crop.tif,46,497

Early005.nd2_crop.tif,76,498

Early005.nd2_crop.tif,106,535

Early005.nd2_crop.tif,136,550

Early005.nd2_crop.tif,166,507

Early005.nd2_crop.tif,196,552

Early005.nd2_crop.tif,226,606

Early005.nd2_crop.tif,256,584

Early005.nd2_crop.tif,286,568

Early006.nd2_crop.tif,16,301

Early006.nd2_crop.tif,46,353

Early006.nd2_crop.tif,76,308

Early006.nd2_crop.tif,106,382

Early006.nd2_crop.tif,136,404

Early006.nd2_crop.tif,166,424

Early006.nd2_crop.tif,196,396

Early006.nd2_crop.tif,226,500

Early006.nd2_crop.tif,256,394

Early006.nd2_crop.tif,286,494

Early007.nd2_crop.tif,16,445

Early007.nd2_crop.tif,46,438

Early007.nd2_crop.tif,76,464

Early007.nd2_crop.tif,106,470

Early007.nd2_crop.tif,136,456

Early007.nd2_crop.tif,166,438

Early007.nd2_crop.tif,196,477

Early007.nd2_crop.tif,226,474

Early007.nd2_crop.tif,256,470

Early007.nd2_crop.tif,286,486

Early008.nd2_crop.tif,16,254

Early008.nd2_crop.tif,46,342

Early008.nd2_crop.tif,76,360

Early008.nd2_crop.tif,106,407

Early008.nd2_crop.tif,136,401

Early008.nd2_crop.tif,166,410

Early008.nd2_crop.tif,196,451

Early008.nd2_crop.tif,226,466

Early008.nd2_crop.tif,256,461

Early008.nd2_crop.tif,286,470

Early009.nd2_crop.tif,16,279

Early009.nd2_crop.tif,46,308

Early009.nd2_crop.tif,76,321

Early009.nd2_crop.tif,106,317

Early009.nd2_crop.tif,136,327

Early009.nd2_crop.tif,166,359

Early009.nd2_crop.tif,196,359

Early009.nd2_crop.tif,226,354

Early009.nd2_crop.tif,256,329

Early009.nd2_crop.tif,286,378

