FileName,MeanParticlesPerFrame,StdParticlesPerFrame,FramesSampled,TotalFrames,MedianParticlesPerFrame
Early.nd2_crop.tif,745.30,27.94,10,300,743.00

Early001.nd2_crop.tif,267.10,19.31,10,300,268.50

Early002.nd2_crop.tif,402.30,21.89,10,300,405.00

Early003.nd2_crop.tif,351.30,13.15,10,300,355.50

Early004.nd2_crop.tif,516.40,24.44,10,300,513.50

Early005.nd2_crop.tif,534.20,48.00,10,300,542.50

Early006.nd2_crop.tif,395.60,66.74,10,300,395.00

Early007.nd2_crop.tif,461.80,16.84,10,300,467.00

Early008.nd2_crop.tif,402.20,68.28,10,300,408.50

Early009.nd2_crop.tif,333.10,29.46,10,300,328.00

