FileName,TrackLength,Frequency
tracked_Traj_Early.nd2_crop,2.5,0
tracked_Traj_Early.nd2_crop,7.5,0
tracked_Traj_Early.nd2_crop,12.5,59
tracked_Traj_Early.nd2_crop,17.5,19
tracked_Traj_Early.nd2_crop,22.5,7
tracked_Traj_Early.nd2_crop,27.5,2
tracked_Traj_Early.nd2_crop,32.5,4
tracked_Traj_Early.nd2_crop,37.5,1
tracked_Traj_Early.nd2_crop,42.5,1
tracked_Traj_Early.nd2_crop,47.5,1
tracked_Traj_Early.nd2_crop,52.5,1
tracked_Traj_Early.nd2_crop,57.5,1
tracked_Traj_Early.nd2_crop,62.5,1
tracked_Traj_Early.nd2_crop,67.5,0
tracked_Traj_Early.nd2_crop,72.5,0
tracked_Traj_Early.nd2_crop,77.5,0
tracked_Traj_Early.nd2_crop,82.5,0
tracked_Traj_Early.nd2_crop,87.5,0
tracked_Traj_Early.nd2_crop,92.5,0
tracked_Traj_Early.nd2_crop,97.5,0
tracked_Traj_Early001.nd2_crop,2.5,0
tracked_Traj_Early001.nd2_crop,7.5,0
tracked_Traj_Early001.nd2_crop,12.5,331
tracked_Traj_Early001.nd2_crop,17.5,84
tracked_Traj_Early001.nd2_crop,22.5,47
tracked_Traj_Early001.nd2_crop,27.5,18
tracked_Traj_Early001.nd2_crop,32.5,7
tracked_Traj_Early001.nd2_crop,37.5,9
tracked_Traj_Early001.nd2_crop,42.5,5
tracked_Traj_Early001.nd2_crop,47.5,5
tracked_Traj_Early001.nd2_crop,52.5,1
tracked_Traj_Early001.nd2_crop,57.5,0
tracked_Traj_Early001.nd2_crop,62.5,2
tracked_Traj_Early001.nd2_crop,67.5,1
tracked_Traj_Early001.nd2_crop,72.5,0
tracked_Traj_Early001.nd2_crop,77.5,0
tracked_Traj_Early001.nd2_crop,82.5,1
tracked_Traj_Early001.nd2_crop,87.5,0
tracked_Traj_Early001.nd2_crop,92.5,1
tracked_Traj_Early001.nd2_crop,97.5,0
tracked_Traj_Early002.nd2_crop,2.5,0
tracked_Traj_Early002.nd2_crop,7.5,0
tracked_Traj_Early002.nd2_crop,12.5,196
tracked_Traj_Early002.nd2_crop,17.5,46
tracked_Traj_Early002.nd2_crop,22.5,24
tracked_Traj_Early002.nd2_crop,27.5,8
tracked_Traj_Early002.nd2_crop,32.5,5
tracked_Traj_Early002.nd2_crop,37.5,3
tracked_Traj_Early002.nd2_crop,42.5,5
tracked_Traj_Early002.nd2_crop,47.5,0
tracked_Traj_Early002.nd2_crop,52.5,1
tracked_Traj_Early002.nd2_crop,57.5,3
tracked_Traj_Early002.nd2_crop,62.5,0
tracked_Traj_Early002.nd2_crop,67.5,1
tracked_Traj_Early002.nd2_crop,72.5,0
tracked_Traj_Early002.nd2_crop,77.5,0
tracked_Traj_Early002.nd2_crop,82.5,1
tracked_Traj_Early002.nd2_crop,87.5,1
tracked_Traj_Early002.nd2_crop,92.5,0
tracked_Traj_Early002.nd2_crop,97.5,0
tracked_Traj_Early003.nd2_crop,2.5,0
tracked_Traj_Early003.nd2_crop,7.5,0
tracked_Traj_Early003.nd2_crop,12.5,227
tracked_Traj_Early003.nd2_crop,17.5,47
tracked_Traj_Early003.nd2_crop,22.5,24
tracked_Traj_Early003.nd2_crop,27.5,6
tracked_Traj_Early003.nd2_crop,32.5,4
tracked_Traj_Early003.nd2_crop,37.5,8
tracked_Traj_Early003.nd2_crop,42.5,6
tracked_Traj_Early003.nd2_crop,47.5,2
tracked_Traj_Early003.nd2_crop,52.5,2
tracked_Traj_Early003.nd2_crop,57.5,1
tracked_Traj_Early003.nd2_crop,62.5,1
tracked_Traj_Early003.nd2_crop,67.5,1
tracked_Traj_Early003.nd2_crop,72.5,0
tracked_Traj_Early003.nd2_crop,77.5,1
tracked_Traj_Early003.nd2_crop,82.5,1
tracked_Traj_Early003.nd2_crop,87.5,0
tracked_Traj_Early003.nd2_crop,92.5,0
tracked_Traj_Early003.nd2_crop,97.5,1
tracked_Traj_Early004.nd2_crop,2.5,0
tracked_Traj_Early004.nd2_crop,7.5,0
tracked_Traj_Early004.nd2_crop,12.5,270
tracked_Traj_Early004.nd2_crop,17.5,83
tracked_Traj_Early004.nd2_crop,22.5,31
tracked_Traj_Early004.nd2_crop,27.5,16
tracked_Traj_Early004.nd2_crop,32.5,15
tracked_Traj_Early004.nd2_crop,37.5,6
tracked_Traj_Early004.nd2_crop,42.5,9
tracked_Traj_Early004.nd2_crop,47.5,2
tracked_Traj_Early004.nd2_crop,52.5,1
tracked_Traj_Early004.nd2_crop,57.5,3
tracked_Traj_Early004.nd2_crop,62.5,2
tracked_Traj_Early004.nd2_crop,67.5,1
tracked_Traj_Early004.nd2_crop,72.5,0
tracked_Traj_Early004.nd2_crop,77.5,2
tracked_Traj_Early004.nd2_crop,82.5,0
tracked_Traj_Early004.nd2_crop,87.5,0
tracked_Traj_Early004.nd2_crop,92.5,0
tracked_Traj_Early004.nd2_crop,97.5,0
tracked_Traj_Early005.nd2_crop,2.5,0
tracked_Traj_Early005.nd2_crop,7.5,0
tracked_Traj_Early005.nd2_crop,12.5,388
tracked_Traj_Early005.nd2_crop,17.5,110
tracked_Traj_Early005.nd2_crop,22.5,55
tracked_Traj_Early005.nd2_crop,27.5,36
tracked_Traj_Early005.nd2_crop,32.5,27
tracked_Traj_Early005.nd2_crop,37.5,10
tracked_Traj_Early005.nd2_crop,42.5,7
tracked_Traj_Early005.nd2_crop,47.5,7
tracked_Traj_Early005.nd2_crop,52.5,3
tracked_Traj_Early005.nd2_crop,57.5,4
tracked_Traj_Early005.nd2_crop,62.5,3
tracked_Traj_Early005.nd2_crop,67.5,1
tracked_Traj_Early005.nd2_crop,72.5,3
tracked_Traj_Early005.nd2_crop,77.5,2
tracked_Traj_Early005.nd2_crop,82.5,1
tracked_Traj_Early005.nd2_crop,87.5,1
tracked_Traj_Early005.nd2_crop,92.5,0
tracked_Traj_Early005.nd2_crop,97.5,1
tracked_Traj_Early006.nd2_crop,2.5,0
tracked_Traj_Early006.nd2_crop,7.5,0
tracked_Traj_Early006.nd2_crop,12.5,311
tracked_Traj_Early006.nd2_crop,17.5,90
tracked_Traj_Early006.nd2_crop,22.5,34
tracked_Traj_Early006.nd2_crop,27.5,28
tracked_Traj_Early006.nd2_crop,32.5,14
tracked_Traj_Early006.nd2_crop,37.5,11
tracked_Traj_Early006.nd2_crop,42.5,3
tracked_Traj_Early006.nd2_crop,47.5,3
tracked_Traj_Early006.nd2_crop,52.5,2
tracked_Traj_Early006.nd2_crop,57.5,2
tracked_Traj_Early006.nd2_crop,62.5,0
tracked_Traj_Early006.nd2_crop,67.5,1
tracked_Traj_Early006.nd2_crop,72.5,1
tracked_Traj_Early006.nd2_crop,77.5,1
tracked_Traj_Early006.nd2_crop,82.5,0
tracked_Traj_Early006.nd2_crop,87.5,0
tracked_Traj_Early006.nd2_crop,92.5,0
tracked_Traj_Early006.nd2_crop,97.5,0
tracked_Traj_Early007.nd2_crop,2.5,0
tracked_Traj_Early007.nd2_crop,7.5,0
tracked_Traj_Early007.nd2_crop,12.5,328
tracked_Traj_Early007.nd2_crop,17.5,103
tracked_Traj_Early007.nd2_crop,22.5,36
tracked_Traj_Early007.nd2_crop,27.5,18
tracked_Traj_Early007.nd2_crop,32.5,14
tracked_Traj_Early007.nd2_crop,37.5,5
tracked_Traj_Early007.nd2_crop,42.5,7
tracked_Traj_Early007.nd2_crop,47.5,6
tracked_Traj_Early007.nd2_crop,52.5,1
tracked_Traj_Early007.nd2_crop,57.5,3
tracked_Traj_Early007.nd2_crop,62.5,1
tracked_Traj_Early007.nd2_crop,67.5,1
tracked_Traj_Early007.nd2_crop,72.5,3
tracked_Traj_Early007.nd2_crop,77.5,1
tracked_Traj_Early007.nd2_crop,82.5,1
tracked_Traj_Early007.nd2_crop,87.5,1
tracked_Traj_Early007.nd2_crop,92.5,0
tracked_Traj_Early007.nd2_crop,97.5,1
tracked_Traj_Early008.nd2_crop,2.5,0
tracked_Traj_Early008.nd2_crop,7.5,0
tracked_Traj_Early008.nd2_crop,12.5,321
tracked_Traj_Early008.nd2_crop,17.5,80
tracked_Traj_Early008.nd2_crop,22.5,32
tracked_Traj_Early008.nd2_crop,27.5,13
tracked_Traj_Early008.nd2_crop,32.5,10
tracked_Traj_Early008.nd2_crop,37.5,7
tracked_Traj_Early008.nd2_crop,42.5,4
tracked_Traj_Early008.nd2_crop,47.5,1
tracked_Traj_Early008.nd2_crop,52.5,1
tracked_Traj_Early008.nd2_crop,57.5,2
tracked_Traj_Early008.nd2_crop,62.5,1
tracked_Traj_Early008.nd2_crop,67.5,1
tracked_Traj_Early008.nd2_crop,72.5,2
tracked_Traj_Early008.nd2_crop,77.5,1
tracked_Traj_Early008.nd2_crop,82.5,1
tracked_Traj_Early008.nd2_crop,87.5,0
tracked_Traj_Early008.nd2_crop,92.5,0
tracked_Traj_Early008.nd2_crop,97.5,0
tracked_Traj_Early009.nd2_crop,2.5,0
tracked_Traj_Early009.nd2_crop,7.5,0
tracked_Traj_Early009.nd2_crop,12.5,298
tracked_Traj_Early009.nd2_crop,17.5,81
tracked_Traj_Early009.nd2_crop,22.5,34
tracked_Traj_Early009.nd2_crop,27.5,25
tracked_Traj_Early009.nd2_crop,32.5,18
tracked_Traj_Early009.nd2_crop,37.5,8
tracked_Traj_Early009.nd2_crop,42.5,8
tracked_Traj_Early009.nd2_crop,47.5,3
tracked_Traj_Early009.nd2_crop,52.5,4
tracked_Traj_Early009.nd2_crop,57.5,4
tracked_Traj_Early009.nd2_crop,62.5,1
tracked_Traj_Early009.nd2_crop,67.5,2
tracked_Traj_Early009.nd2_crop,72.5,1
tracked_Traj_Early009.nd2_crop,77.5,0
tracked_Traj_Early009.nd2_crop,82.5,1
tracked_Traj_Early009.nd2_crop,87.5,1
tracked_Traj_Early009.nd2_crop,92.5,0
tracked_Traj_Early009.nd2_crop,97.5,1
