FileName,Frame,ParticleCount
Set2_t2_post007.nd2_crop.tif,16,607

Set2_t2_post007.nd2_crop.tif,46,623

Set2_t2_post007.nd2_crop.tif,76,584

Set2_t2_post007.nd2_crop.tif,106,652

Set2_t2_post007.nd2_crop.tif,136,652

Set2_t2_post007.nd2_crop.tif,166,639

Set2_t2_post007.nd2_crop.tif,196,561

Set2_t2_post007.nd2_crop.tif,226,606

Set2_t2_post007.nd2_crop.tif,256,620

Set2_t2_post007.nd2_crop.tif,286,627

Set2_t2_post008.nd2_crop.tif,16,354

Set2_t2_post008.nd2_crop.tif,46,405

Set2_t2_post008.nd2_crop.tif,76,418

Set2_t2_post008.nd2_crop.tif,106,460

Set2_t2_post008.nd2_crop.tif,136,534

Set2_t2_post008.nd2_crop.tif,166,471

Set2_t2_post008.nd2_crop.tif,196,493

Set2_t2_post008.nd2_crop.tif,226,540

Set2_t2_post008.nd2_crop.tif,256,570

Set2_t2_post008.nd2_crop.tif,286,610

Set2_t2_post009.nd2_crop.tif,16,598

Set2_t2_post009.nd2_crop.tif,46,556

Set2_t2_post009.nd2_crop.tif,76,654

Set2_t2_post009.nd2_crop.tif,106,716

Set2_t2_post009.nd2_crop.tif,136,712

Set2_t2_post009.nd2_crop.tif,166,708

Set2_t2_post009.nd2_crop.tif,196,708

Set2_t2_post009.nd2_crop.tif,226,752

Set2_t2_post009.nd2_crop.tif,256,780

Set2_t2_post009.nd2_crop.tif,286,783

Set2_t2_post010.nd2_crop.tif,16,580

Set2_t2_post010.nd2_crop.tif,46,614

Set2_t2_post010.nd2_crop.tif,76,674

Set2_t2_post010.nd2_crop.tif,106,704

Set2_t2_post010.nd2_crop.tif,136,762

Set2_t2_post010.nd2_crop.tif,166,718

Set2_t2_post010.nd2_crop.tif,196,734

Set2_t2_post010.nd2_crop.tif,226,702

Set2_t2_post010.nd2_crop.tif,256,758

Set2_t2_post010.nd2_crop.tif,286,742

Set2_t2_post011.nd2_crop.tif,16,614

Set2_t2_post011.nd2_crop.tif,46,647

Set2_t2_post011.nd2_crop.tif,76,690

Set2_t2_post011.nd2_crop.tif,106,686

Set2_t2_post011.nd2_crop.tif,136,686

Set2_t2_post011.nd2_crop.tif,166,750

Set2_t2_post011.nd2_crop.tif,196,712

Set2_t2_post011.nd2_crop.tif,226,749

Set2_t2_post011.nd2_crop.tif,256,726

Set2_t2_post011.nd2_crop.tif,286,825

Set2_t2_post012.nd2_crop.tif,16,631

Set2_t2_post012.nd2_crop.tif,46,667

Set2_t2_post012.nd2_crop.tif,76,655

Set2_t2_post012.nd2_crop.tif,106,652

Set2_t2_post012.nd2_crop.tif,136,715

Set2_t2_post012.nd2_crop.tif,166,750

Set2_t2_post012.nd2_crop.tif,196,713

Set2_t2_post012.nd2_crop.tif,226,749

Set2_t2_post012.nd2_crop.tif,256,720

Set2_t2_post012.nd2_crop.tif,286,755

Set2_t2_post013.nd2_crop.tif,16,550

Set2_t2_post013.nd2_crop.tif,46,602

Set2_t2_post013.nd2_crop.tif,76,605

Set2_t2_post013.nd2_crop.tif,106,649

Set2_t2_post013.nd2_crop.tif,136,635

Set2_t2_post013.nd2_crop.tif,166,667

Set2_t2_post013.nd2_crop.tif,196,618

Set2_t2_post013.nd2_crop.tif,226,697

Set2_t2_post013.nd2_crop.tif,256,696

Set2_t2_post013.nd2_crop.tif,286,743

