FileName,MeanParticlesPerFrame,StdParticlesPerFrame,FramesSampled,TotalFrames,MedianParticlesPerFrame
Set2_t2_post007.nd2_crop.tif,617.10,28.92,10,300,621.50

Set2_t2_post008.nd2_crop.tif,485.50,79.73,10,300,482.00

Set2_t2_post009.nd2_crop.tif,696.70,74.29,10,300,710.00

Set2_t2_post010.nd2_crop.tif,698.80,60.49,10,300,711.00

Set2_t2_post011.nd2_crop.tif,708.50,58.99,10,300,701.00

Set2_t2_post012.nd2_crop.tif,700.70,45.82,10,300,714.00

Set2_t2_post013.nd2_crop.tif,646.20,56.47,10,300,642.00

