FileName,TrackLength,Frequency
tracked_Traj_Set2_t2_post007.nd2_crop,2.5,0
tracked_Traj_Set2_t2_post007.nd2_crop,7.5,0
tracked_Traj_Set2_t2_post007.nd2_crop,12.5,438
tracked_Traj_Set2_t2_post007.nd2_crop,17.5,139
tracked_Traj_Set2_t2_post007.nd2_crop,22.5,50
tracked_Traj_Set2_t2_post007.nd2_crop,27.5,44
tracked_Traj_Set2_t2_post007.nd2_crop,32.5,23
tracked_Traj_Set2_t2_post007.nd2_crop,37.5,11
tracked_Traj_Set2_t2_post007.nd2_crop,42.5,11
tracked_Traj_Set2_t2_post007.nd2_crop,47.5,4
tracked_Traj_Set2_t2_post007.nd2_crop,52.5,5
tracked_Traj_Set2_t2_post007.nd2_crop,57.5,4
tracked_Traj_Set2_t2_post007.nd2_crop,62.5,5
tracked_Traj_Set2_t2_post007.nd2_crop,67.5,3
tracked_Traj_Set2_t2_post007.nd2_crop,72.5,4
tracked_Traj_Set2_t2_post007.nd2_crop,77.5,2
tracked_Traj_Set2_t2_post007.nd2_crop,82.5,2
tracked_Traj_Set2_t2_post007.nd2_crop,87.5,2
tracked_Traj_Set2_t2_post007.nd2_crop,92.5,1
tracked_Traj_Set2_t2_post007.nd2_crop,97.5,0
tracked_Traj_Set2_t2_post008.nd2_crop,2.5,0
tracked_Traj_Set2_t2_post008.nd2_crop,7.5,0
tracked_Traj_Set2_t2_post008.nd2_crop,12.5,217
tracked_Traj_Set2_t2_post008.nd2_crop,17.5,61
tracked_Traj_Set2_t2_post008.nd2_crop,22.5,30
tracked_Traj_Set2_t2_post008.nd2_crop,27.5,10
tracked_Traj_Set2_t2_post008.nd2_crop,32.5,8
tracked_Traj_Set2_t2_post008.nd2_crop,37.5,7
tracked_Traj_Set2_t2_post008.nd2_crop,42.5,3
tracked_Traj_Set2_t2_post008.nd2_crop,47.5,3
tracked_Traj_Set2_t2_post008.nd2_crop,52.5,4
tracked_Traj_Set2_t2_post008.nd2_crop,57.5,4
tracked_Traj_Set2_t2_post008.nd2_crop,62.5,0
tracked_Traj_Set2_t2_post008.nd2_crop,67.5,1
tracked_Traj_Set2_t2_post008.nd2_crop,72.5,1
tracked_Traj_Set2_t2_post008.nd2_crop,77.5,0
