FileName,Frame,ParticleCount
Set2_t1_post.nd2_crop.tif,16,738

Set2_t1_post.nd2_crop.tif,46,739

Set2_t1_post.nd2_crop.tif,76,755

Set2_t1_post.nd2_crop.tif,106,744

Set2_t1_post.nd2_crop.tif,136,750

Set2_t1_post.nd2_crop.tif,166,834

Set2_t1_post.nd2_crop.tif,196,813

Set2_t1_post.nd2_crop.tif,226,830

Set2_t1_post.nd2_crop.tif,256,802

Set2_t1_post.nd2_crop.tif,286,849

Set2_t1_post001.nd2_crop.tif,16,626

Set2_t1_post001.nd2_crop.tif,46,635

Set2_t1_post001.nd2_crop.tif,76,630

Set2_t1_post001.nd2_crop.tif,106,616

Set2_t1_post001.nd2_crop.tif,136,642

Set2_t1_post001.nd2_crop.tif,166,635

Set2_t1_post001.nd2_crop.tif,196,676

Set2_t1_post001.nd2_crop.tif,226,657

Set2_t1_post001.nd2_crop.tif,256,642

Set2_t1_post001.nd2_crop.tif,286,648

Set2_t1_post002.nd2_crop.tif,16,709

Set2_t1_post002.nd2_crop.tif,46,734

Set2_t1_post002.nd2_crop.tif,76,744

Set2_t1_post002.nd2_crop.tif,106,769

Set2_t1_post002.nd2_crop.tif,136,685

Set2_t1_post002.nd2_crop.tif,166,682

Set2_t1_post002.nd2_crop.tif,196,727

Set2_t1_post002.nd2_crop.tif,226,743

Set2_t1_post002.nd2_crop.tif,256,675

Set2_t1_post002.nd2_crop.tif,286,722

Set2_t1_post003.nd2_crop.tif,16,595

Set2_t1_post003.nd2_crop.tif,46,600

Set2_t1_post003.nd2_crop.tif,76,650

Set2_t1_post003.nd2_crop.tif,106,671

Set2_t1_post003.nd2_crop.tif,136,676

Set2_t1_post003.nd2_crop.tif,166,653

Set2_t1_post003.nd2_crop.tif,196,682

Set2_t1_post003.nd2_crop.tif,226,709

Set2_t1_post003.nd2_crop.tif,256,738

Set2_t1_post003.nd2_crop.tif,286,730

Set2_t1_post004.nd2_crop.tif,16,690

Set2_t1_post004.nd2_crop.tif,46,699

Set2_t1_post004.nd2_crop.tif,76,689

Set2_t1_post004.nd2_crop.tif,106,687

Set2_t1_post004.nd2_crop.tif,136,696

Set2_t1_post004.nd2_crop.tif,166,769

Set2_t1_post004.nd2_crop.tif,196,773

Set2_t1_post004.nd2_crop.tif,226,741

Set2_t1_post004.nd2_crop.tif,256,764

Set2_t1_post004.nd2_crop.tif,286,816

Set2_t1_post005.nd2_crop.tif,16,786

Set2_t1_post005.nd2_crop.tif,46,787

Set2_t1_post005.nd2_crop.tif,76,807

Set2_t1_post005.nd2_crop.tif,106,799

Set2_t1_post005.nd2_crop.tif,136,831

Set2_t1_post005.nd2_crop.tif,166,860

Set2_t1_post005.nd2_crop.tif,196,791

Set2_t1_post005.nd2_crop.tif,226,786

Set2_t1_post005.nd2_crop.tif,256,823

Set2_t1_post005.nd2_crop.tif,286,800

Set2_t1_post006.nd2_crop.tif,16,777

Set2_t1_post006.nd2_crop.tif,46,782

Set2_t1_post006.nd2_crop.tif,76,775

Set2_t1_post006.nd2_crop.tif,106,736

Set2_t1_post006.nd2_crop.tif,136,742

Set2_t1_post006.nd2_crop.tif,166,759

Set2_t1_post006.nd2_crop.tif,196,739

Set2_t1_post006.nd2_crop.tif,226,750

Set2_t1_post006.nd2_crop.tif,256,791

Set2_t1_post006.nd2_crop.tif,286,769

