FileName,TrackLength,Frequency
tracked_Traj_Set2_t1_post.nd2_crop,2.5,0
tracked_Traj_Set2_t1_post.nd2_crop,7.5,0
tracked_Traj_Set2_t1_post.nd2_crop,12.5,446
tracked_Traj_Set2_t1_post.nd2_crop,17.5,144
tracked_Traj_Set2_t1_post.nd2_crop,22.5,75
tracked_Traj_Set2_t1_post.nd2_crop,27.5,36
tracked_Traj_Set2_t1_post.nd2_crop,32.5,31
tracked_Traj_Set2_t1_post.nd2_crop,37.5,19
tracked_Traj_Set2_t1_post.nd2_crop,42.5,15
tracked_Traj_Set2_t1_post.nd2_crop,47.5,12
tracked_Traj_Set2_t1_post.nd2_crop,52.5,8
tracked_Traj_Set2_t1_post.nd2_crop,57.5,5
tracked_Traj_Set2_t1_post.nd2_crop,62.5,6
tracked_Traj_Set2_t1_post.nd2_crop,67.5,8
tracked_Traj_Set2_t1_post.nd2_crop,72.5,4
tracked_Traj_Set2_t1_post.nd2_crop,77.5,4
tracked_Traj_Set2_t1_post.nd2_crop,82.5,3
tracked_Traj_Set2_t1_post.nd2_crop,87.5,3
tracked_Traj_Set2_t1_post.nd2_crop,92.5,3
tracked_Traj_Set2_t1_post.nd2_crop,97.5,3
tracked_Traj_Set2_t1_post001.nd2_crop,2.5,0
tracked_Traj_Set2_t1_post001.nd2_crop,7.5,0
tracked_Traj_Set2_t1_post001.nd2_crop,12.5,259
tracked_Traj_Set2_t1_post001.nd2_crop,17.5,69
tracked_Traj_Set2_t1_post001.nd2_crop,22.5,33
tracked_Traj_Set2_t1_post001.nd2_crop,27.5,27
tracked_Traj_Set2_t1_post001.nd2_crop,32.5,10
tracked_Traj_Set2_t1_post001.nd2_crop,37.5,8
tracked_Traj_Set2_t1_post001.nd2_crop,42.5,11
tracked_Traj_Set2_t1_post001.nd2_crop,47.5,7
tracked_Traj_Set2_t1_post001.nd2_crop,52.5,4
tracked_Traj_Set2_t1_post001.nd2_crop,57.5,1
tracked_Traj_Set2_t1_post001.nd2_crop,62.5,0
tracked_Traj_Set2_t1_post001.nd2_crop,67.5,3
tracked_Traj_Set2_t1_post001.nd2_crop,72.5,1
tracked_Traj_Set2_t1_post001.nd2_crop,77.5,1
tracked_Traj_Set2_t1_post001.nd2_crop,82.5,3
tracked_Traj_Set2_t1_post001.nd2_crop,87.5,4
tracked_Traj_Set2_t1_post001.nd2_crop,92.5,2
tracked_Traj_Set2_t1_post001.nd2_crop,97.5,2
tracked_Traj_Set2_t1_post002.nd2_crop,2.5,0
tracked_Traj_Set2_t1_post002.nd2_crop,7.5,0
tracked_Traj_Set2_t1_post002.nd2_crop,12.5,570
tracked_Traj_Set2_t1_post002.nd2_crop,17.5,151
tracked_Traj_Set2_t1_post002.nd2_crop,22.5,70
