embryo,noise_floor_D_um2s,partition_size_used,note
Later,0.01722996735810239,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Later001,0.023496501357683296,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Later002,0.022107052866134555,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Later003,0.026757980902582645,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Later004,0.023140405858563133,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Later005,0.028130890039602962,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Later006,0.02693599577024132,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Later007,0.02275366429856839,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Later008,0.025399179507726397,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Later009,0.02415420466433044,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Later010,0.029746353898168966,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Later011,0.02828244154704012,5,Mean D from 5-frame partitions (upper-bound noise estimate)
