FileName,Frame,ParticleCount
Later.nd2_crop.tif,16,458

Later.nd2_crop.tif,46,398

Later.nd2_crop.tif,76,507

Later.nd2_crop.tif,106,486

Later.nd2_crop.tif,136,450

Later.nd2_crop.tif,166,491

Later.nd2_crop.tif,196,439

Later.nd2_crop.tif,226,480

Later.nd2_crop.tif,256,468

Later.nd2_crop.tif,286,563

Later001.nd2_crop.tif,16,686

Later001.nd2_crop.tif,46,834

Later001.nd2_crop.tif,76,785

Later001.nd2_crop.tif,106,748

Later001.nd2_crop.tif,136,743

Later001.nd2_crop.tif,166,949

Later001.nd2_crop.tif,196,974

Later001.nd2_crop.tif,226,911

Later001.nd2_crop.tif,256,897

Later001.nd2_crop.tif,286,917

Later002.nd2_crop.tif,16,588

Later002.nd2_crop.tif,46,757

Later002.nd2_crop.tif,76,723

Later002.nd2_crop.tif,106,707

Later002.nd2_crop.tif,136,728

Later002.nd2_crop.tif,166,710

Later002.nd2_crop.tif,196,714

Later002.nd2_crop.tif,226,726

Later002.nd2_crop.tif,256,693

Later002.nd2_crop.tif,286,689

Later003.nd2_crop.tif,16,713

Later003.nd2_crop.tif,46,700

Later003.nd2_crop.tif,76,671

Later003.nd2_crop.tif,106,700

Later003.nd2_crop.tif,136,681

Later003.nd2_crop.tif,166,734

Later003.nd2_crop.tif,196,649

Later003.nd2_crop.tif,226,672

Later003.nd2_crop.tif,256,684

Later003.nd2_crop.tif,286,686

Later004.nd2_crop.tif,16,608

Later004.nd2_crop.tif,46,602

Later004.nd2_crop.tif,76,645

Later004.nd2_crop.tif,106,666

Later004.nd2_crop.tif,136,603

Later004.nd2_crop.tif,166,641

Later004.nd2_crop.tif,196,581

Later004.nd2_crop.tif,226,703

Later004.nd2_crop.tif,256,681

Later004.nd2_crop.tif,286,607

Later005.nd2_crop.tif,16,462

Later005.nd2_crop.tif,46,525

Later005.nd2_crop.tif,76,509

Later005.nd2_crop.tif,106,489

Later005.nd2_crop.tif,136,522

Later005.nd2_crop.tif,166,523

Later005.nd2_crop.tif,196,545

Later005.nd2_crop.tif,226,542

Later005.nd2_crop.tif,256,550

Later005.nd2_crop.tif,286,582

Later006.nd2_crop.tif,16,796

Later006.nd2_crop.tif,46,798

Later006.nd2_crop.tif,76,768

Later006.nd2_crop.tif,106,854

Later006.nd2_crop.tif,136,748

Later006.nd2_crop.tif,166,787

Later006.nd2_crop.tif,196,748

Later006.nd2_crop.tif,226,771

Later006.nd2_crop.tif,256,848

Later006.nd2_crop.tif,286,831

Later007.nd2_crop.tif,8,616

Later007.nd2_crop.tif,22,778

Later007.nd2_crop.tif,36,811

Later007.nd2_crop.tif,49,810

Later007.nd2_crop.tif,63,714

Later007.nd2_crop.tif,77,718

Later007.nd2_crop.tif,91,680

Later007.nd2_crop.tif,105,689

Later007.nd2_crop.tif,118,864

Later007.nd2_crop.tif,132,895

Later008.nd2_crop.tif,16,550

Later008.nd2_crop.tif,46,518

Later008.nd2_crop.tif,76,544

Later008.nd2_crop.tif,106,514

Later008.nd2_crop.tif,136,493

Later008.nd2_crop.tif,166,486

Later008.nd2_crop.tif,196,478

Later008.nd2_crop.tif,226,502

Later008.nd2_crop.tif,256,491

Later008.nd2_crop.tif,286,485

Later009.nd2_crop.tif,16,435

Later009.nd2_crop.tif,46,430

Later009.nd2_crop.tif,76,432

Later009.nd2_crop.tif,106,410

Later009.nd2_crop.tif,136,425

Later009.nd2_crop.tif,166,434

Later009.nd2_crop.tif,196,453

Later009.nd2_crop.tif,226,402

Later009.nd2_crop.tif,256,423

Later009.nd2_crop.tif,286,406

Later010.nd2_crop.tif,16,524

Later010.nd2_crop.tif,46,526

Later010.nd2_crop.tif,76,504

Later010.nd2_crop.tif,106,489

Later010.nd2_crop.tif,136,471

Later010.nd2_crop.tif,166,486

Later010.nd2_crop.tif,196,484

Later010.nd2_crop.tif,226,489

Later010.nd2_crop.tif,256,463

Later010.nd2_crop.tif,286,458

Later011.nd2_crop.tif,16,398

Later011.nd2_crop.tif,46,405

Later011.nd2_crop.tif,76,366

Later011.nd2_crop.tif,106,369

Later011.nd2_crop.tif,136,397

Later011.nd2_crop.tif,166,385

Later011.nd2_crop.tif,196,388

Later011.nd2_crop.tif,226,398

Later011.nd2_crop.tif,256,373

Later011.nd2_crop.tif,286,401

