FileName,TrackLength,Frequency
tracked_Traj_Later.nd2_crop,2.5,0
tracked_Traj_Later.nd2_crop,7.5,0
tracked_Traj_Later.nd2_crop,12.5,453
tracked_Traj_Later.nd2_crop,17.5,147
tracked_Traj_Later.nd2_crop,22.5,52
tracked_Traj_Later.nd2_crop,27.5,30
tracked_Traj_Later.nd2_crop,32.5,18
tracked_Traj_Later.nd2_crop,37.5,10
tracked_Traj_Later.nd2_crop,42.5,6
tracked_Traj_Later.nd2_crop,47.5,4
tracked_Traj_Later.nd2_crop,52.5,1
tracked_Traj_Later.nd2_crop,57.5,2
tracked_Traj_Later.nd2_crop,62.5,0
tracked_Traj_Later.nd2_crop,67.5,2
tracked_Traj_Later.nd2_crop,72.5,2
tracked_Traj_Later.nd2_crop,77.5,1
tracked_Traj_Later.nd2_crop,82.5,0
tracked_Traj_Later.nd2_crop,87.5,1
tracked_Traj_Later.nd2_crop,92.5,1
tracked_Traj_Later.nd2_crop,97.5,0
tracked_Traj_Later001.nd2_crop,2.5,0
tracked_Traj_Later001.nd2_crop,7.5,0
tracked_Traj_Later001.nd2_crop,12.5,278
tracked_Traj_Later001.nd2_crop,17.5,69
tracked_Traj_Later001.nd2_crop,22.5,27
tracked_Traj_Later001.nd2_crop,27.5,14
tracked_Traj_Later001.nd2_crop,32.5,10
tracked_Traj_Later001.nd2_crop,37.5,9
tracked_Traj_Later001.nd2_crop,42.5,4
tracked_Traj_Later001.nd2_crop,47.5,6
tracked_Traj_Later001.nd2_crop,52.5,5
tracked_Traj_Later001.nd2_crop,57.5,1
tracked_Traj_Later001.nd2_crop,62.5,0
tracked_Traj_Later001.nd2_crop,67.5,1
tracked_Traj_Later001.nd2_crop,72.5,1
tracked_Traj_Later001.nd2_crop,77.5,2
tracked_Traj_Later001.nd2_crop,82.5,1
tracked_Traj_Later001.nd2_crop,87.5,0
tracked_Traj_Later001.nd2_crop,92.5,1
tracked_Traj_Later001.nd2_crop,97.5,0
tracked_Traj_Later002.nd2_crop,2.5,0
tracked_Traj_Later002.nd2_crop,7.5,0
tracked_Traj_Later002.nd2_crop,12.5,389
tracked_Traj_Later002.nd2_crop,17.5,109
tracked_Traj_Later002.nd2_crop,22.5,45
tracked_Traj_Later002.nd2_crop,27.5,18
tracked_Traj_Later002.nd2_crop,32.5,14
tracked_Traj_Later002.nd2_crop,37.5,9
tracked_Traj_Later002.nd2_crop,42.5,5
tracked_Traj_Later002.nd2_crop,47.5,7
tracked_Traj_Later002.nd2_crop,52.5,0
tracked_Traj_Later002.nd2_crop,57.5,4
tracked_Traj_Later002.nd2_crop,62.5,2
tracked_Traj_Later002.nd2_crop,67.5,1
tracked_Traj_Later002.nd2_crop,72.5,2
tracked_Traj_Later002.nd2_crop,77.5,1
tracked_Traj_Later002.nd2_crop,82.5,0
tracked_Traj_Later002.nd2_crop,87.5,2
tracked_Traj_Later002.nd2_crop,92.5,0
tracked_Traj_Later002.nd2_crop,97.5,0
tracked_Traj_Later003.nd2_crop,2.5,0
tracked_Traj_Later003.nd2_crop,7.5,0
tracked_Traj_Later003.nd2_crop,12.5,437
tracked_Traj_Later003.nd2_crop,17.5,85
tracked_Traj_Later003.nd2_crop,22.5,51
tracked_Traj_Later003.nd2_crop,27.5,23
tracked_Traj_Later003.nd2_crop,32.5,9
tracked_Traj_Later003.nd2_crop,37.5,6
tracked_Traj_Later003.nd2_crop,42.5,2
tracked_Traj_Later003.nd2_crop,47.5,2
tracked_Traj_Later003.nd2_crop,52.5,4
tracked_Traj_Later003.nd2_crop,57.5,5
tracked_Traj_Later003.nd2_crop,62.5,0
tracked_Traj_Later003.nd2_crop,67.5,1
tracked_Traj_Later003.nd2_crop,72.5,1
tracked_Traj_Later003.nd2_crop,77.5,2
tracked_Traj_Later003.nd2_crop,82.5,0
tracked_Traj_Later003.nd2_crop,87.5,0
tracked_Traj_Later003.nd2_crop,92.5,1
tracked_Traj_Later003.nd2_crop,97.5,1
tracked_Traj_Later004.nd2_crop,2.5,0
tracked_Traj_Later004.nd2_crop,7.5,0
tracked_Traj_Later004.nd2_crop,12.5,384
tracked_Traj_Later004.nd2_crop,17.5,72
tracked_Traj_Later004.nd2_crop,22.5,39
tracked_Traj_Later004.nd2_crop,27.5,20
tracked_Traj_Later004.nd2_crop,32.5,18
tracked_Traj_Later004.nd2_crop,37.5,6
tracked_Traj_Later004.nd2_crop,42.5,5
tracked_Traj_Later004.nd2_crop,47.5,1
tracked_Traj_Later004.nd2_crop,52.5,3
tracked_Traj_Later004.nd2_crop,57.5,1
tracked_Traj_Later004.nd2_crop,62.5,3
tracked_Traj_Later004.nd2_crop,67.5,0
tracked_Traj_Later004.nd2_crop,72.5,3
tracked_Traj_Later004.nd2_crop,77.5,1
tracked_Traj_Later004.nd2_crop,82.5,0
tracked_Traj_Later004.nd2_crop,87.5,0
tracked_Traj_Later004.nd2_crop,92.5,1
tracked_Traj_Later004.nd2_crop,97.5,2
tracked_Traj_Later005.nd2_crop,2.5,0
tracked_Traj_Later005.nd2_crop,7.5,0
tracked_Traj_Later005.nd2_crop,12.5,300
tracked_Traj_Later005.nd2_crop,17.5,58
tracked_Traj_Later005.nd2_crop,22.5,27
tracked_Traj_Later005.nd2_crop,27.5,14
tracked_Traj_Later005.nd2_crop,32.5,12
tracked_Traj_Later005.nd2_crop,37.5,6
tracked_Traj_Later005.nd2_crop,42.5,1
tracked_Traj_Later005.nd2_crop,47.5,4
tracked_Traj_Later005.nd2_crop,52.5,0
tracked_Traj_Later005.nd2_crop,57.5,0
tracked_Traj_Later005.nd2_crop,62.5,0
tracked_Traj_Later005.nd2_crop,67.5,1
tracked_Traj_Later005.nd2_crop,72.5,1
tracked_Traj_Later005.nd2_crop,77.5,0
tracked_Traj_Later005.nd2_crop,82.5,1
tracked_Traj_Later005.nd2_crop,87.5,0
tracked_Traj_Later005.nd2_crop,92.5,0
tracked_Traj_Later005.nd2_crop,97.5,1
tracked_Traj_Later006.nd2_crop,2.5,0
tracked_Traj_Later006.nd2_crop,7.5,0
tracked_Traj_Later006.nd2_crop,12.5,469
tracked_Traj_Later006.nd2_crop,17.5,118
tracked_Traj_Later006.nd2_crop,22.5,35
tracked_Traj_Later006.nd2_crop,27.5,31
tracked_Traj_Later006.nd2_crop,32.5,14
tracked_Traj_Later006.nd2_crop,37.5,9
tracked_Traj_Later006.nd2_crop,42.5,6
tracked_Traj_Later006.nd2_crop,47.5,2
tracked_Traj_Later006.nd2_crop,52.5,3
tracked_Traj_Later006.nd2_crop,57.5,2
tracked_Traj_Later006.nd2_crop,62.5,1
tracked_Traj_Later006.nd2_crop,67.5,2
tracked_Traj_Later006.nd2_crop,72.5,3
tracked_Traj_Later006.nd2_crop,77.5,1
tracked_Traj_Later006.nd2_crop,82.5,1
tracked_Traj_Later006.nd2_crop,87.5,0
tracked_Traj_Later006.nd2_crop,92.5,0
tracked_Traj_Later006.nd2_crop,97.5,2
tracked_Traj_Later007.nd2_crop,2.5,0
tracked_Traj_Later007.nd2_crop,7.5,0
tracked_Traj_Later007.nd2_crop,12.5,53
tracked_Traj_Later007.nd2_crop,17.5,10
tracked_Traj_Later007.nd2_crop,22.5,2
tracked_Traj_Later007.nd2_crop,27.5,1
tracked_Traj_Later007.nd2_crop,32.5,2
tracked_Traj_Later007.nd2_crop,37.5,0
tracked_Traj_Later007.nd2_crop,42.5,0
tracked_Traj_Later007.nd2_crop,47.5,1
tracked_Traj_Later007.nd2_crop,52.5,0
tracked_Traj_Later007.nd2_crop,57.5,1
tracked_Traj_Later007.nd2_crop,62.5,0
tracked_Traj_Later007.nd2_crop,67.5,0
tracked_Traj_Later007.nd2_crop,72.5,0
tracked_Traj_Later007.nd2_crop,77.5,1
tracked_Traj_Later007.nd2_crop,82.5,0
tracked_Traj_Later007.nd2_crop,87.5,0
tracked_Traj_Later007.nd2_crop,92.5,0
tracked_Traj_Later007.nd2_crop,97.5,0
tracked_Traj_Later008.nd2_crop,2.5,0
tracked_Traj_Later008.nd2_crop,7.5,0
tracked_Traj_Later008.nd2_crop,12.5,356
tracked_Traj_Later008.nd2_crop,17.5,69
tracked_Traj_Later008.nd2_crop,22.5,33
tracked_Traj_Later008.nd2_crop,27.5,20
tracked_Traj_Later008.nd2_crop,32.5,8
tracked_Traj_Later008.nd2_crop,37.5,5
tracked_Traj_Later008.nd2_crop,42.5,9
tracked_Traj_Later008.nd2_crop,47.5,6
tracked_Traj_Later008.nd2_crop,52.5,3
tracked_Traj_Later008.nd2_crop,57.5,4
tracked_Traj_Later008.nd2_crop,62.5,2
tracked_Traj_Later008.nd2_crop,67.5,2
tracked_Traj_Later008.nd2_crop,72.5,0
tracked_Traj_Later008.nd2_crop,77.5,1
tracked_Traj_Later008.nd2_crop,82.5,1
tracked_Traj_Later008.nd2_crop,87.5,0
tracked_Traj_Later008.nd2_crop,92.5,0
tracked_Traj_Later008.nd2_crop,97.5,0
tracked_Traj_Later009.nd2_crop,2.5,0
tracked_Traj_Later009.nd2_crop,7.5,0
tracked_Traj_Later009.nd2_crop,12.5,518
tracked_Traj_Later009.nd2_crop,17.5,133
tracked_Traj_Later009.nd2_crop,22.5,55
tracked_Traj_Later009.nd2_crop,27.5,33
tracked_Traj_Later009.nd2_crop,32.5,22
tracked_Traj_Later009.nd2_crop,37.5,10
tracked_Traj_Later009.nd2_crop,42.5,9
tracked_Traj_Later009.nd2_crop,47.5,5
tracked_Traj_Later009.nd2_crop,52.5,10
tracked_Traj_Later009.nd2_crop,57.5,5
tracked_Traj_Later009.nd2_crop,62.5,2
tracked_Traj_Later009.nd2_crop,67.5,3
tracked_Traj_Later009.nd2_crop,72.5,2
tracked_Traj_Later009.nd2_crop,77.5,0
tracked_Traj_Later009.nd2_crop,82.5,1
tracked_Traj_Later009.nd2_crop,87.5,3
tracked_Traj_Later009.nd2_crop,92.5,0
tracked_Traj_Later009.nd2_crop,97.5,1
tracked_Traj_Later010.nd2_crop,2.5,0
tracked_Traj_Later010.nd2_crop,7.5,0
tracked_Traj_Later010.nd2_crop,12.5,400
tracked_Traj_Later010.nd2_crop,17.5,92
tracked_Traj_Later010.nd2_crop,22.5,34
tracked_Traj_Later010.nd2_crop,27.5,13
tracked_Traj_Later010.nd2_crop,32.5,12
tracked_Traj_Later010.nd2_crop,37.5,6
tracked_Traj_Later010.nd2_crop,42.5,6
tracked_Traj_Later010.nd2_crop,47.5,5
tracked_Traj_Later010.nd2_crop,52.5,3
tracked_Traj_Later010.nd2_crop,57.5,1
tracked_Traj_Later010.nd2_crop,62.5,3
tracked_Traj_Later010.nd2_crop,67.5,3
tracked_Traj_Later010.nd2_crop,72.5,0
tracked_Traj_Later010.nd2_crop,77.5,0
tracked_Traj_Later010.nd2_crop,82.5,2
tracked_Traj_Later010.nd2_crop,87.5,1
