FileName,Frame,ParticleCount
Em3_NC10002.nd2_crop.tif,16,830

Em3_NC10002.nd2_crop.tif,46,884

Em3_NC10002.nd2_crop.tif,76,869

Em3_NC10002.nd2_crop.tif,106,829

Em3_NC10002.nd2_crop.tif,136,837

Em3_NC10002.nd2_crop.tif,166,849

Em3_NC10002.nd2_crop.tif,196,836

Em3_NC10002.nd2_crop.tif,226,861

Em3_NC10002.nd2_crop.tif,256,871

Em3_NC10002.nd2_crop.tif,286,895

Em4_NC10003.nd2_crop.tif,16,558

Em4_NC10003.nd2_crop.tif,46,595

Em4_NC10003.nd2_crop.tif,76,608

Em4_NC10003.nd2_crop.tif,106,590

Em4_NC10003.nd2_crop.tif,136,602

Em4_NC10003.nd2_crop.tif,166,614

Em4_NC10003.nd2_crop.tif,196,630

Em4_NC10003.nd2_crop.tif,226,617

Em4_NC10003.nd2_crop.tif,256,624

Em4_NC10003.nd2_crop.tif,286,609

Em1_NC10.nd2_crop.tif,16,261

Em1_NC10.nd2_crop.tif,46,288

Em1_NC10.nd2_crop.tif,76,292

Em1_NC10.nd2_crop.tif,106,321

Em1_NC10.nd2_crop.tif,136,339

Em1_NC10.nd2_crop.tif,166,332

Em1_NC10.nd2_crop.tif,196,311

Em1_NC10.nd2_crop.tif,226,307

Em1_NC10.nd2_crop.tif,256,320

Em1_NC10.nd2_crop.tif,286,330

Em2_NC10001.nd2_crop.tif,16,670

Em2_NC10001.nd2_crop.tif,46,708

Em2_NC10001.nd2_crop.tif,76,697

Em2_NC10001.nd2_crop.tif,106,733

Em2_NC10001.nd2_crop.tif,136,710

Em2_NC10001.nd2_crop.tif,166,700

Em2_NC10001.nd2_crop.tif,196,721

Em2_NC10001.nd2_crop.tif,226,719

Em2_NC10001.nd2_crop.tif,256,684

Em2_NC10001.nd2_crop.tif,286,682

