FileName,TrackLength,Frequency
tracked_Traj_Em1_NC10.nd2_crop,2.5,0
tracked_Traj_Em1_NC10.nd2_crop,7.5,0
tracked_Traj_Em1_NC10.nd2_crop,12.5,498
tracked_Traj_Em1_NC10.nd2_crop,17.5,155
tracked_Traj_Em1_NC10.nd2_crop,22.5,66
tracked_Traj_Em1_NC10.nd2_crop,27.5,29
tracked_Traj_Em1_NC10.nd2_crop,32.5,16
tracked_Traj_Em1_NC10.nd2_crop,37.5,17
tracked_Traj_Em1_NC10.nd2_crop,42.5,10
tracked_Traj_Em1_NC10.nd2_crop,47.5,8
tracked_Traj_Em1_NC10.nd2_crop,52.5,4
tracked_Traj_Em1_NC10.nd2_crop,57.5,7
tracked_Traj_Em1_NC10.nd2_crop,62.5,7
tracked_Traj_Em1_NC10.nd2_crop,67.5,3
tracked_Traj_Em1_NC10.nd2_crop,72.5,1
tracked_Traj_Em1_NC10.nd2_crop,77.5,2
tracked_Traj_Em1_NC10.nd2_crop,82.5,1
tracked_Traj_Em1_NC10.nd2_crop,87.5,1
tracked_Traj_Em1_NC10.nd2_crop,92.5,2
tracked_Traj_Em1_NC10.nd2_crop,97.5,0
tracked_Traj_Em2_NC10001.nd2_crop,2.5,0
tracked_Traj_Em2_NC10001.nd2_crop,7.5,0
tracked_Traj_Em2_NC10001.nd2_crop,12.5,736
tracked_Traj_Em2_NC10001.nd2_crop,17.5,209
tracked_Traj_Em2_NC10001.nd2_crop,22.5,93
tracked_Traj_Em2_NC10001.nd2_crop,27.5,54
tracked_Traj_Em2_NC10001.nd2_crop,32.5,28
tracked_Traj_Em2_NC10001.nd2_crop,37.5,19
tracked_Traj_Em2_NC10001.nd2_crop,42.5,24
tracked_Traj_Em2_NC10001.nd2_crop,47.5,14
tracked_Traj_Em2_NC10001.nd2_crop,52.5,10
tracked_Traj_Em2_NC10001.nd2_crop,57.5,9
tracked_Traj_Em2_NC10001.nd2_crop,62.5,11
tracked_Traj_Em2_NC10001.nd2_crop,67.5,10
tracked_Traj_Em2_NC10001.nd2_crop,72.5,5
tracked_Traj_Em2_NC10001.nd2_crop,77.5,13
tracked_Traj_Em2_NC10001.nd2_crop,82.5,1
tracked_Traj_Em2_NC10001.nd2_crop,87.5,3
tracked_Traj_Em2_NC10001.nd2_crop,92.5,4
tracked_Traj_Em2_NC10001.nd2_crop,97.5,7
tracked_Traj_Em3_NC10002.nd2_crop,2.5,0
tracked_Traj_Em3_NC10002.nd2_crop,7.5,0
tracked_Traj_Em3_NC10002.nd2_crop,12.5,683
tracked_Traj_Em3_NC10002.nd2_crop,17.5,256
tracked_Traj_Em3_NC10002.nd2_crop,22.5,106
tracked_Traj_Em3_NC10002.nd2_crop,27.5,54
tracked_Traj_Em3_NC10002.nd2_crop,32.5,47
tracked_Traj_Em3_NC10002.nd2_crop,37.5,22
tracked_Traj_Em3_NC10002.nd2_crop,42.5,15
tracked_Traj_Em3_NC10002.nd2_crop,47.5,13
tracked_Traj_Em3_NC10002.nd2_crop,52.5,14
tracked_Traj_Em3_NC10002.nd2_crop,57.5,11
tracked_Traj_Em3_NC10002.nd2_crop,62.5,6
tracked_Traj_Em3_NC10002.nd2_crop,67.5,9
tracked_Traj_Em3_NC10002.nd2_crop,72.5,3
tracked_Traj_Em3_NC10002.nd2_crop,77.5,3
tracked_Traj_Em3_NC10002.nd2_crop,82.5,7
tracked_Traj_Em3_NC10002.nd2_crop,87.5,3
tracked_Traj_Em3_NC10002.nd2_crop,92.5,3
tracked_Traj_Em3_NC10002.nd2_crop,97.5,2
tracked_Traj_Em4_NC10003.nd2_crop,2.5,0
tracked_Traj_Em4_NC10003.nd2_crop,7.5,0
tracked_Traj_Em4_NC10003.nd2_crop,12.5,611
tracked_Traj_Em4_NC10003.nd2_crop,17.5,170
tracked_Traj_Em4_NC10003.nd2_crop,22.5,57
tracked_Traj_Em4_NC10003.nd2_crop,27.5,34
tracked_Traj_Em4_NC10003.nd2_crop,32.5,19
tracked_Traj_Em4_NC10003.nd2_crop,37.5,19
tracked_Traj_Em4_NC10003.nd2_crop,42.5,14
tracked_Traj_Em4_NC10003.nd2_crop,47.5,9
tracked_Traj_Em4_NC10003.nd2_crop,52.5,9
tracked_Traj_Em4_NC10003.nd2_crop,57.5,7
tracked_Traj_Em4_NC10003.nd2_crop,62.5,5
tracked_Traj_Em4_NC10003.nd2_crop,67.5,7
tracked_Traj_Em4_NC10003.nd2_crop,72.5,6
tracked_Traj_Em4_NC10003.nd2_crop,77.5,1
tracked_Traj_Em4_NC10003.nd2_crop,82.5,4
tracked_Traj_Em4_NC10003.nd2_crop,87.5,1
tracked_Traj_Em4_NC10003.nd2_crop,92.5,2
tracked_Traj_Em4_NC10003.nd2_crop,97.5,2
