embryo,noise_floor_D_um2s,partition_size_used,note
Anterior_Set4007,0.022208512205682034,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Anterior_Set4007,0.022208512205682034,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Anterior_Set4016,0.023785389031978386,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Anterior_Set4016,0.023785389031978386,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Middle_Set4008,0.014227153863916672,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Middle_Set4008,0.014227153863916672,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Middle_Set4017,0.014917892366568637,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Middle_Set4017,0.014917892366568637,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Posteior_Set4009,0.018534856296898033,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Posteior_Set4009,0.018534856296898033,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Posteior_Set4018,0.022439745060792392,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Posteior_Set4018,0.022439745060792392,5,Mean D from 5-frame partitions (upper-bound noise estimate)
