FileName,Frame,ParticleCount
Posteior_Set4018.nd2_crop.tif,6,544

Posteior_Set4018.nd2_crop.tif,15,483

Posteior_Set4018.nd2_crop.tif,25,573

Posteior_Set4018.nd2_crop.tif,35,560

Posteior_Set4018.nd2_crop.tif,44,568

Posteior_Set4018.nd2_crop.tif,54,564

Posteior_Set4018.nd2_crop.tif,63,557

Posteior_Set4018.nd2_crop.tif,73,582

Posteior_Set4018.nd2_crop.tif,83,501

Posteior_Set4018.nd2_crop.tif,92,571

Anterior_Set4016.nd2_crop.tif,7,533

Anterior_Set4016.nd2_crop.tif,18,592

Anterior_Set4016.nd2_crop.tif,30,572

Anterior_Set4016.nd2_crop.tif,41,555

Anterior_Set4016.nd2_crop.tif,53,542

Anterior_Set4016.nd2_crop.tif,64,593

Anterior_Set4016.nd2_crop.tif,76,591

Anterior_Set4016.nd2_crop.tif,87,571

Anterior_Set4016.nd2_crop.tif,99,554

Anterior_Set4016.nd2_crop.tif,110,591

Middle_Set4017.nd2_crop.tif,6,679

Middle_Set4017.nd2_crop.tif,16,681

Middle_Set4017.nd2_crop.tif,26,700

Middle_Set4017.nd2_crop.tif,35,704

Middle_Set4017.nd2_crop.tif,45,722

Middle_Set4017.nd2_crop.tif,55,736

Middle_Set4017.nd2_crop.tif,65,705

Middle_Set4017.nd2_crop.tif,75,736

Middle_Set4017.nd2_crop.tif,84,728

Middle_Set4017.nd2_crop.tif,94,735

Posteior_Set4009.nd2_crop.tif,6,533

Posteior_Set4009.nd2_crop.tif,16,548

Posteior_Set4009.nd2_crop.tif,26,552

Posteior_Set4009.nd2_crop.tif,35,550

Posteior_Set4009.nd2_crop.tif,45,548

Posteior_Set4009.nd2_crop.tif,55,474

Posteior_Set4009.nd2_crop.tif,65,541

Posteior_Set4009.nd2_crop.tif,75,551

Posteior_Set4009.nd2_crop.tif,84,548

Posteior_Set4009.nd2_crop.tif,94,559

Anterior_Set4007.nd2_crop.tif,7,585

Anterior_Set4007.nd2_crop.tif,18,591

Anterior_Set4007.nd2_crop.tif,30,593

Anterior_Set4007.nd2_crop.tif,41,470

Anterior_Set4007.nd2_crop.tif,52,589

Anterior_Set4007.nd2_crop.tif,64,577

Anterior_Set4007.nd2_crop.tif,75,547

Anterior_Set4007.nd2_crop.tif,87,589

Anterior_Set4007.nd2_crop.tif,98,555

Anterior_Set4007.nd2_crop.tif,109,569

Middle_Set4008.nd2_crop.tif,6,611

Middle_Set4008.nd2_crop.tif,15,609

Middle_Set4008.nd2_crop.tif,25,595

Middle_Set4008.nd2_crop.tif,35,621

Middle_Set4008.nd2_crop.tif,44,564

Middle_Set4008.nd2_crop.tif,54,644

Middle_Set4008.nd2_crop.tif,63,595

Middle_Set4008.nd2_crop.tif,73,595

Middle_Set4008.nd2_crop.tif,83,586

Middle_Set4008.nd2_crop.tif,92,599

