FileName,TrackLength,Frequency
tracked_Traj_Posteior_Set4018.nd2_crop,2.5,0
tracked_Traj_Posteior_Set4018.nd2_crop,7.5,0
tracked_Traj_Posteior_Set4018.nd2_crop,12.5,133
tracked_Traj_Posteior_Set4018.nd2_crop,17.5,34
tracked_Traj_Posteior_Set4018.nd2_crop,22.5,11
tracked_Traj_Posteior_Set4018.nd2_crop,27.5,8
tracked_Traj_Posteior_Set4018.nd2_crop,32.5,2
tracked_Traj_Posteior_Set4018.nd2_crop,37.5,3
tracked_Traj_Posteior_Set4018.nd2_crop,42.5,1
tracked_Traj_Posteior_Set4018.nd2_crop,47.5,1
tracked_Traj_Posteior_Set4018.nd2_crop,52.5,0
tracked_Traj_Posteior_Set4018.nd2_crop,57.5,0
tracked_Traj_Posteior_Set4018.nd2_crop,62.5,0
tracked_Traj_Posteior_Set4018.nd2_crop,67.5,0
tracked_Traj_Posteior_Set4018.nd2_crop,72.5,0
tracked_Traj_Posteior_Set4018.nd2_crop,77.5,0
tracked_Traj_Posteior_Set4018.nd2_crop,82.5,0
tracked_Traj_Posteior_Set4018.nd2_crop,87.5,1
tracked_Traj_Posteior_Set4018.nd2_crop,92.5,0
tracked_Traj_Posteior_Set4018.nd2_crop,97.5,1
tracked_Traj_Anterior_Set4016.nd2_crop,2.5,0
tracked_Traj_Anterior_Set4016.nd2_crop,7.5,0
tracked_Traj_Anterior_Set4016.nd2_crop,12.5,201
tracked_Traj_Anterior_Set4016.nd2_crop,17.5,55
tracked_Traj_Anterior_Set4016.nd2_crop,22.5,18
tracked_Traj_Anterior_Set4016.nd2_crop,27.5,15
tracked_Traj_Anterior_Set4016.nd2_crop,32.5,7
tracked_Traj_Anterior_Set4016.nd2_crop,37.5,2
tracked_Traj_Anterior_Set4016.nd2_crop,42.5,3
tracked_Traj_Anterior_Set4016.nd2_crop,47.5,2
tracked_Traj_Anterior_Set4016.nd2_crop,52.5,2
tracked_Traj_Anterior_Set4016.nd2_crop,57.5,0
tracked_Traj_Anterior_Set4016.nd2_crop,62.5,0
tracked_Traj_Anterior_Set4016.nd2_crop,67.5,0
tracked_Traj_Anterior_Set4016.nd2_crop,72.5,2
tracked_Traj_Anterior_Set4016.nd2_crop,77.5,0
tracked_Traj_Anterior_Set4016.nd2_crop,82.5,0
tracked_Traj_Anterior_Set4016.nd2_crop,87.5,0
tracked_Traj_Anterior_Set4016.nd2_crop,92.5,0
tracked_Traj_Anterior_Set4016.nd2_crop,97.5,0
tracked_Traj_Middle_Set4017.nd2_crop,2.5,0
tracked_Traj_Middle_Set4017.nd2_crop,7.5,0
tracked_Traj_Middle_Set4017.nd2_crop,12.5,152
tracked_Traj_Middle_Set4017.nd2_crop,17.5,46
tracked_Traj_Middle_Set4017.nd2_crop,22.5,24
tracked_Traj_Middle_Set4017.nd2_crop,27.5,7
tracked_Traj_Middle_Set4017.nd2_crop,32.5,6
tracked_Traj_Middle_Set4017.nd2_crop,37.5,1
tracked_Traj_Middle_Set4017.nd2_crop,42.5,4
tracked_Traj_Middle_Set4017.nd2_crop,47.5,5
tracked_Traj_Middle_Set4017.nd2_crop,52.5,3
tracked_Traj_Middle_Set4017.nd2_crop,57.5,1
tracked_Traj_Middle_Set4017.nd2_crop,62.5,0
tracked_Traj_Middle_Set4017.nd2_crop,67.5,1
tracked_Traj_Middle_Set4017.nd2_crop,72.5,0
tracked_Traj_Middle_Set4017.nd2_crop,77.5,0
tracked_Traj_Middle_Set4017.nd2_crop,82.5,1
tracked_Traj_Middle_Set4017.nd2_crop,87.5,1
tracked_Traj_Middle_Set4017.nd2_crop,92.5,0
tracked_Traj_Middle_Set4017.nd2_crop,97.5,4
tracked_Traj_Posteior_Set4009.nd2_crop,2.5,0
tracked_Traj_Posteior_Set4009.nd2_crop,7.5,0
tracked_Traj_Posteior_Set4009.nd2_crop,12.5,131
tracked_Traj_Posteior_Set4009.nd2_crop,17.5,28
tracked_Traj_Posteior_Set4009.nd2_crop,22.5,26
tracked_Traj_Posteior_Set4009.nd2_crop,27.5,7
tracked_Traj_Posteior_Set4009.nd2_crop,32.5,4
tracked_Traj_Posteior_Set4009.nd2_crop,37.5,0
tracked_Traj_Posteior_Set4009.nd2_crop,42.5,1
tracked_Traj_Posteior_Set4009.nd2_crop,47.5,3
tracked_Traj_Posteior_Set4009.nd2_crop,52.5,1
tracked_Traj_Posteior_Set4009.nd2_crop,57.5,0
tracked_Traj_Posteior_Set4009.nd2_crop,62.5,0
tracked_Traj_Posteior_Set4009.nd2_crop,67.5,0
tracked_Traj_Posteior_Set4009.nd2_crop,72.5,0
tracked_Traj_Posteior_Set4009.nd2_crop,77.5,0
tracked_Traj_Posteior_Set4009.nd2_crop,82.5,0
tracked_Traj_Posteior_Set4009.nd2_crop,87.5,0
tracked_Traj_Posteior_Set4009.nd2_crop,92.5,0
tracked_Traj_Posteior_Set4009.nd2_crop,97.5,1
tracked_Traj_Anterior_Set4007.nd2_crop,2.5,0
tracked_Traj_Anterior_Set4007.nd2_crop,7.5,0
tracked_Traj_Anterior_Set4007.nd2_crop,12.5,133
tracked_Traj_Anterior_Set4007.nd2_crop,17.5,31
tracked_Traj_Anterior_Set4007.nd2_crop,22.5,12
tracked_Traj_Anterior_Set4007.nd2_crop,27.5,7
tracked_Traj_Anterior_Set4007.nd2_crop,32.5,8
tracked_Traj_Anterior_Set4007.nd2_crop,37.5,2
tracked_Traj_Anterior_Set4007.nd2_crop,42.5,1
tracked_Traj_Anterior_Set4007.nd2_crop,47.5,1
tracked_Traj_Anterior_Set4007.nd2_crop,52.5,1
tracked_Traj_Anterior_Set4007.nd2_crop,57.5,1
tracked_Traj_Anterior_Set4007.nd2_crop,62.5,1
tracked_Traj_Anterior_Set4007.nd2_crop,67.5,0
tracked_Traj_Anterior_Set4007.nd2_crop,72.5,0
tracked_Traj_Anterior_Set4007.nd2_crop,77.5,0
tracked_Traj_Anterior_Set4007.nd2_crop,82.5,1
tracked_Traj_Anterior_Set4007.nd2_crop,87.5,0
tracked_Traj_Anterior_Set4007.nd2_crop,92.5,0
tracked_Traj_Anterior_Set4007.nd2_crop,97.5,0
tracked_Traj_Middle_Set4008.nd2_crop,2.5,0
tracked_Traj_Middle_Set4008.nd2_crop,7.5,0
tracked_Traj_Middle_Set4008.nd2_crop,12.5,136
tracked_Traj_Middle_Set4008.nd2_crop,17.5,39
tracked_Traj_Middle_Set4008.nd2_crop,22.5,19
tracked_Traj_Middle_Set4008.nd2_crop,27.5,15
tracked_Traj_Middle_Set4008.nd2_crop,32.5,6
tracked_Traj_Middle_Set4008.nd2_crop,37.5,3
