FileName,TrackLength,Frequency
tracked_Traj_PB_em1.nd2_crop,2.5,0
tracked_Traj_PB_em1.nd2_crop,7.5,0
tracked_Traj_PB_em1.nd2_crop,12.5,67
tracked_Traj_PB_em1.nd2_crop,17.5,28
tracked_Traj_PB_em1.nd2_crop,22.5,8
tracked_Traj_PB_em1.nd2_crop,27.5,3
tracked_Traj_PB_em1.nd2_crop,32.5,0
tracked_Traj_PB_em1.nd2_crop,37.5,1
tracked_Traj_PB_em1.nd2_crop,42.5,2
tracked_Traj_PB_em1.nd2_crop,47.5,0
tracked_Traj_PB_em1.nd2_crop,52.5,0
tracked_Traj_PB_em1.nd2_crop,57.5,0
tracked_Traj_PB_em1.nd2_crop,62.5,0
tracked_Traj_PB_em1.nd2_crop,67.5,0
tracked_Traj_PB_em1.nd2_crop,72.5,0
tracked_Traj_PB_em1.nd2_crop,77.5,0
tracked_Traj_PB_em1.nd2_crop,82.5,0
tracked_Traj_PB_em1.nd2_crop,87.5,0
tracked_Traj_PB_em1.nd2_crop,92.5,0
tracked_Traj_PB_em1.nd2_crop,97.5,0
tracked_Traj_PB_em1.nd2_crop_with_alpha,2.5,0
tracked_Traj_PB_em1.nd2_crop_with_alpha,7.5,0
tracked_Traj_PB_em1.nd2_crop_with_alpha,12.5,67
tracked_Traj_PB_em1.nd2_crop_with_alpha,17.5,28
tracked_Traj_PB_em1.nd2_crop_with_alpha,22.5,8
tracked_Traj_PB_em1.nd2_crop_with_alpha,27.5,3
tracked_Traj_PB_em1.nd2_crop_with_alpha,32.5,0
tracked_Traj_PB_em1.nd2_crop_with_alpha,37.5,1
tracked_Traj_PB_em1.nd2_crop_with_alpha,42.5,2
tracked_Traj_PB_em1.nd2_crop_with_alpha,47.5,0
tracked_Traj_PB_em1.nd2_crop_with_alpha,52.5,0
tracked_Traj_PB_em1.nd2_crop_with_alpha,57.5,0
tracked_Traj_PB_em1.nd2_crop_with_alpha,62.5,0
tracked_Traj_PB_em1.nd2_crop_with_alpha,67.5,0
tracked_Traj_PB_em1.nd2_crop_with_alpha,72.5,0
tracked_Traj_PB_em1.nd2_crop_with_alpha,77.5,0
tracked_Traj_PB_em1.nd2_crop_with_alpha,82.5,0
tracked_Traj_PB_em1.nd2_crop_with_alpha,87.5,0
tracked_Traj_PB_em1.nd2_crop_with_alpha,92.5,0
tracked_Traj_PB_em1.nd2_crop_with_alpha,97.5,0
tracked_Traj_PB_em1_001.nd2_crop,2.5,0
tracked_Traj_PB_em1_001.nd2_crop,7.5,0
tracked_Traj_PB_em1_001.nd2_crop,12.5,77
tracked_Traj_PB_em1_001.nd2_crop,17.5,16
tracked_Traj_PB_em1_001.nd2_crop,22.5,5
tracked_Traj_PB_em1_001.nd2_crop,27.5,9
tracked_Traj_PB_em1_001.nd2_crop,32.5,3
tracked_Traj_PB_em1_001.nd2_crop,37.5,4
tracked_Traj_PB_em1_001.nd2_crop,42.5,0
tracked_Traj_PB_em1_001.nd2_crop,47.5,2
tracked_Traj_PB_em1_001.nd2_crop,52.5,0
tracked_Traj_PB_em1_001.nd2_crop,57.5,1
tracked_Traj_PB_em1_001.nd2_crop,62.5,0
tracked_Traj_PB_em1_001.nd2_crop,67.5,0
tracked_Traj_PB_em1_001.nd2_crop,72.5,0
tracked_Traj_PB_em1_001.nd2_crop,77.5,0
tracked_Traj_PB_em1_001.nd2_crop,82.5,0
tracked_Traj_PB_em1_001.nd2_crop,87.5,0
tracked_Traj_PB_em1_001.nd2_crop,92.5,0
tracked_Traj_PB_em1_001.nd2_crop,97.5,0
