FileName,TrackLength,Frequency
tracked_Traj_Em6.nd2_crop,2.5,0
tracked_Traj_Em6.nd2_crop,7.5,0
tracked_Traj_Em6.nd2_crop,12.5,480
tracked_Traj_Em6.nd2_crop,17.5,130
tracked_Traj_Em6.nd2_crop,22.5,64
tracked_Traj_Em6.nd2_crop,27.5,29
tracked_Traj_Em6.nd2_crop,32.5,10
tracked_Traj_Em6.nd2_crop,37.5,14
tracked_Traj_Em6.nd2_crop,42.5,11
tracked_Traj_Em6.nd2_crop,47.5,7
tracked_Traj_Em6.nd2_crop,52.5,4
tracked_Traj_Em6.nd2_crop,57.5,2
tracked_Traj_Em6.nd2_crop,62.5,5
tracked_Traj_Em6.nd2_crop,67.5,2
tracked_Traj_Em6.nd2_crop,72.5,4
tracked_Traj_Em6.nd2_crop,77.5,1
tracked_Traj_Em6.nd2_crop,82.5,1
tracked_Traj_Em6.nd2_crop,87.5,1
tracked_Traj_Em6.nd2_crop,92.5,0
tracked_Traj_Em6.nd2_crop,97.5,1
tracked_Traj_Em7.nd2_crop,2.5,0
tracked_Traj_Em7.nd2_crop,7.5,0
tracked_Traj_Em7.nd2_crop,12.5,388
tracked_Traj_Em7.nd2_crop,17.5,104
tracked_Traj_Em7.nd2_crop,22.5,47
tracked_Traj_Em7.nd2_crop,27.5,20
tracked_Traj_Em7.nd2_crop,32.5,12
tracked_Traj_Em7.nd2_crop,37.5,13
tracked_Traj_Em7.nd2_crop,42.5,5
tracked_Traj_Em7.nd2_crop,47.5,4
tracked_Traj_Em7.nd2_crop,52.5,6
tracked_Traj_Em7.nd2_crop,57.5,0
tracked_Traj_Em7.nd2_crop,62.5,2
tracked_Traj_Em7.nd2_crop,67.5,1
tracked_Traj_Em7.nd2_crop,72.5,1
tracked_Traj_Em7.nd2_crop,77.5,1
tracked_Traj_Em7.nd2_crop,82.5,0
tracked_Traj_Em7.nd2_crop,87.5,0
tracked_Traj_Em7.nd2_crop,92.5,0
tracked_Traj_Em7.nd2_crop,97.5,0
tracked_Traj_Em1.nd2_crop,2.5,0
tracked_Traj_Em1.nd2_crop,7.5,0
tracked_Traj_Em1.nd2_crop,12.5,469
tracked_Traj_Em1.nd2_crop,17.5,156
tracked_Traj_Em1.nd2_crop,22.5,54
tracked_Traj_Em1.nd2_crop,27.5,33
tracked_Traj_Em1.nd2_crop,32.5,26
tracked_Traj_Em1.nd2_crop,37.5,12
tracked_Traj_Em1.nd2_crop,42.5,7
tracked_Traj_Em1.nd2_crop,47.5,4
tracked_Traj_Em1.nd2_crop,52.5,5
tracked_Traj_Em1.nd2_crop,57.5,5
tracked_Traj_Em1.nd2_crop,62.5,4
tracked_Traj_Em1.nd2_crop,67.5,0
tracked_Traj_Em1.nd2_crop,72.5,1
tracked_Traj_Em1.nd2_crop,77.5,1
tracked_Traj_Em1.nd2_crop,82.5,2
tracked_Traj_Em1.nd2_crop,87.5,0
tracked_Traj_Em1.nd2_crop,92.5,1
tracked_Traj_Em1.nd2_crop,97.5,1
tracked_Traj_Em2.nd2_crop,2.5,0
tracked_Traj_Em2.nd2_crop,7.5,0
tracked_Traj_Em2.nd2_crop,12.5,490
tracked_Traj_Em2.nd2_crop,17.5,172
tracked_Traj_Em2.nd2_crop,22.5,68
tracked_Traj_Em2.nd2_crop,27.5,45
tracked_Traj_Em2.nd2_crop,32.5,19
tracked_Traj_Em2.nd2_crop,37.5,12
tracked_Traj_Em2.nd2_crop,42.5,12
tracked_Traj_Em2.nd2_crop,47.5,3
tracked_Traj_Em2.nd2_crop,52.5,6
tracked_Traj_Em2.nd2_crop,57.5,2
tracked_Traj_Em2.nd2_crop,62.5,7
tracked_Traj_Em2.nd2_crop,67.5,0
tracked_Traj_Em2.nd2_crop,72.5,2
tracked_Traj_Em2.nd2_crop,77.5,2
tracked_Traj_Em2.nd2_crop,82.5,2
tracked_Traj_Em2.nd2_crop,87.5,3
tracked_Traj_Em2.nd2_crop,92.5,2
tracked_Traj_Em2.nd2_crop,97.5,1
tracked_Traj_Em4.nd2_crop,2.5,0
tracked_Traj_Em4.nd2_crop,7.5,0
tracked_Traj_Em4.nd2_crop,12.5,359
tracked_Traj_Em4.nd2_crop,17.5,73
