FileName,Frame,ParticleCount
Em7.nd2_crop.tif,16,532

Em7.nd2_crop.tif,46,553

Em7.nd2_crop.tif,76,522

Em7.nd2_crop.tif,106,532

Em7.nd2_crop.tif,136,560

Em7.nd2_crop.tif,166,520

Em7.nd2_crop.tif,196,552

Em7.nd2_crop.tif,226,525

Em7.nd2_crop.tif,256,534

Em7.nd2_crop.tif,286,569

Em1.nd2_crop.tif,16,466

Em1.nd2_crop.tif,46,487

Em1.nd2_crop.tif,76,461

Em1.nd2_crop.tif,106,436

Em1.nd2_crop.tif,136,467

Em1.nd2_crop.tif,166,483

Em1.nd2_crop.tif,196,478

Em1.nd2_crop.tif,226,475

Em1.nd2_crop.tif,256,476

Em1.nd2_crop.tif,286,462

Em1_NC10.nd2_crop.tif,16,261

Em1_NC10.nd2_crop.tif,46,288

Em1_NC10.nd2_crop.tif,76,292

Em1_NC10.nd2_crop.tif,106,321

Em1_NC10.nd2_crop.tif,136,339

Em1_NC10.nd2_crop.tif,166,332

Em1_NC10.nd2_crop.tif,196,311

Em1_NC10.nd2_crop.tif,226,307

Em1_NC10.nd2_crop.tif,256,320

Em1_NC10.nd2_crop.tif,286,330

Em2.nd2_crop.tif,16,684

Em2.nd2_crop.tif,46,673

Em2.nd2_crop.tif,76,720

Em2.nd2_crop.tif,106,717

Em2.nd2_crop.tif,136,707

Em2.nd2_crop.tif,166,761

Em2.nd2_crop.tif,196,672

Em2.nd2_crop.tif,226,739

Em2.nd2_crop.tif,256,719

Em2.nd2_crop.tif,286,710

Em2_NC10001.nd2_crop.tif,16,670

Em2_NC10001.nd2_crop.tif,46,708

Em2_NC10001.nd2_crop.tif,76,697

Em2_NC10001.nd2_crop.tif,106,733

Em2_NC10001.nd2_crop.tif,136,710

Em2_NC10001.nd2_crop.tif,166,700

Em2_NC10001.nd2_crop.tif,196,721

Em2_NC10001.nd2_crop.tif,226,719

Em2_NC10001.nd2_crop.tif,256,684

Em2_NC10001.nd2_crop.tif,286,682

Em3_NC10002.nd2_crop.tif,16,830

Em3_NC10002.nd2_crop.tif,46,884

Em3_NC10002.nd2_crop.tif,76,869

Em3_NC10002.nd2_crop.tif,106,829

