FileName,MeanParticlesPerFrame,StdParticlesPerFrame,FramesSampled,TotalFrames,MedianParticlesPerFrame
Em7.nd2_crop.tif,539.90,17.21,10,300,533.00

Em1.nd2_crop.tif,469.10,14.53,10,300,471.00

Em1_NC10.nd2_crop.tif,310.10,23.96,10,300,315.50

Em2.nd2_crop.tif,710.20,28.22,10,300,713.50

Em2_NC10001.nd2_crop.tif,702.40,19.68,10,300,704.00

Em3_NC10002.nd2_crop.tif,856.10,23.43,10,300,855.00

Em4.nd2_crop.tif,352.10,19.59,10,300,349.00

Em4_NC10003.nd2_crop.tif,604.70,20.49,10,300,608.50

Em5.nd2_crop.tif,481.20,30.85,10,300,485.50

Em6.nd2_crop.tif,771.10,12.64,10,300,770.00

Em004.nd2_crop.tif,322.50,25.85,10,300,329.00

Em.nd2_crop.tif,817.50,32.65,10,300,827.50

Em001.nd2_crop.tif,288.60,18.64,10,300,290.00

Em002.nd2_crop.tif,897.30,21.83,10,300,898.00

Em003.nd2_crop.tif,474.60,13.14,10,300,474.00

