FileName,Frame,ParticleCount
PB_em1.nd2_crop.tif,9,495

PB_em1.nd2_crop.tif,24,494

PB_em1.nd2_crop.tif,39,512

PB_em1.nd2_crop.tif,54,516

PB_em1.nd2_crop.tif,69,515

PB_em1.nd2_crop.tif,84,500

PB_em1.nd2_crop.tif,99,506

PB_em1.nd2_crop.tif,114,491

PB_em1.nd2_crop.tif,129,489

PB_em1.nd2_crop.tif,144,495

PB_em1_001.nd2_crop.tif,9,479

PB_em1_001.nd2_crop.tif,24,469

PB_em1_001.nd2_crop.tif,39,476

PB_em1_001.nd2_crop.tif,54,481

PB_em1_001.nd2_crop.tif,69,472

PB_em1_001.nd2_crop.tif,84,476

PB_em1_001.nd2_crop.tif,99,464

PB_em1_001.nd2_crop.tif,114,474

PB_em1_001.nd2_crop.tif,129,454

PB_em1_001.nd2_crop.tif,144,443

PB_em2_.nd2_crop.tif,9,553

PB_em2_.nd2_crop.tif,24,572

PB_em2_.nd2_crop.tif,39,559

PB_em2_.nd2_crop.tif,54,548

PB_em2_.nd2_crop.tif,69,603

PB_em2_.nd2_crop.tif,84,606

PB_em2_.nd2_crop.tif,99,587

PB_em2_.nd2_crop.tif,114,600

PB_em2_.nd2_crop.tif,129,588

PB_em2_.nd2_crop.tif,144,599

PB_em2_001.nd2_crop.tif,9,585

PB_em2_001.nd2_crop.tif,24,572

PB_em2_001.nd2_crop.tif,39,569

PB_em2_001.nd2_crop.tif,54,564

PB_em2_001.nd2_crop.tif,69,573

PB_em2_001.nd2_crop.tif,84,567

PB_em2_001.nd2_crop.tif,99,571

PB_em2_001.nd2_crop.tif,114,573

PB_em2_001.nd2_crop.tif,129,589

PB_em2_001.nd2_crop.tif,144,578

PB_em3.nd2_crop.tif,9,303

PB_em3.nd2_crop.tif,24,320

PB_em3.nd2_crop.tif,39,369

PB_em3.nd2_crop.tif,54,384

PB_em3.nd2_crop.tif,69,393

PB_em3.nd2_crop.tif,84,428

PB_em3.nd2_crop.tif,99,427

PB_em3.nd2_crop.tif,114,423

PB_em3.nd2_crop.tif,129,410

PB_em3.nd2_crop.tif,144,418

PB_em3001.nd2_crop.tif,9,591

PB_em3001.nd2_crop.tif,24,583

PB_em3001.nd2_crop.tif,39,535

PB_em3001.nd2_crop.tif,54,567

PB_em3001.nd2_crop.tif,69,587

PB_em3001.nd2_crop.tif,84,576

PB_em3001.nd2_crop.tif,99,577

PB_em3001.nd2_crop.tif,114,562

PB_em3001.nd2_crop.tif,129,536

PB_em3001.nd2_crop.tif,144,557

PB_em4_.nd2_crop.tif,9,539

PB_em4_.nd2_crop.tif,24,522

PB_em4_.nd2_crop.tif,39,558

PB_em4_.nd2_crop.tif,54,516

PB_em4_.nd2_crop.tif,69,526

PB_em4_.nd2_crop.tif,84,547

PB_em4_.nd2_crop.tif,99,541

PB_em4_.nd2_crop.tif,114,543

PB_em4_.nd2_crop.tif,129,559

PB_em4_.nd2_crop.tif,144,555

PB_em4_001.nd2_crop.tif,9,549

PB_em4_001.nd2_crop.tif,24,557

PB_em4_001.nd2_crop.tif,39,584

PB_em4_001.nd2_crop.tif,54,593

PB_em4_001.nd2_crop.tif,69,559

PB_em4_001.nd2_crop.tif,84,562

PB_em4_001.nd2_crop.tif,99,568

PB_em4_001.nd2_crop.tif,114,608

PB_em4_001.nd2_crop.tif,129,560

PB_em4_001.nd2_crop.tif,144,584

PB_em4_0024x.nd2_crop.tif,9,310

PB_em4_0024x.nd2_crop.tif,24,313

PB_em4_0024x.nd2_crop.tif,39,307

PB_em4_0024x.nd2_crop.tif,54,328

PB_em4_0024x.nd2_crop.tif,69,315

PB_em4_0024x.nd2_crop.tif,84,304

PB_em4_0024x.nd2_crop.tif,99,331

PB_em4_0024x.nd2_crop.tif,114,322

PB_em4_0024x.nd2_crop.tif,129,313

PB_em4_0024x.nd2_crop.tif,144,313

