FileName,MeanParticlesPerFrame,StdParticlesPerFrame,FramesSampled,TotalFrames,MedianParticlesPerFrame
PB_em1.nd2_crop.tif,501.30,10.18,10,150,497.50

PB_em1_001.nd2_crop.tif,468.80,12.03,10,150,473.00

PB_em2_.nd2_crop.tif,581.50,21.89,10,150,587.50

PB_em2_001.nd2_crop.tif,574.10,7.82,10,150,572.50

PB_em3.nd2_crop.tif,387.50,44.69,10,150,401.50

PB_em3001.nd2_crop.tif,567.10,19.78,10,150,571.50

PB_em4_.nd2_crop.tif,540.60,15.14,10,150,542.00

PB_em4_001.nd2_crop.tif,572.40,18.88,10,150,565.00

PB_em4_0024x.nd2_crop.tif,315.60,8.77,10,150,313.00

