FileName,TrackLength,Frequency
tracked_Traj_Set7.nd2_crop,2.5,0
tracked_Traj_Set7.nd2_crop,7.5,0
tracked_Traj_Set7.nd2_crop,12.5,249
tracked_Traj_Set7.nd2_crop,17.5,55
tracked_Traj_Set7.nd2_crop,22.5,34
tracked_Traj_Set7.nd2_crop,27.5,16
tracked_Traj_Set7.nd2_crop,32.5,8
tracked_Traj_Set7.nd2_crop,37.5,2
tracked_Traj_Set7.nd2_crop,42.5,5
tracked_Traj_Set7.nd2_crop,47.5,1
tracked_Traj_Set7.nd2_crop,52.5,1
tracked_Traj_Set7.nd2_crop,57.5,2
tracked_Traj_Set7.nd2_crop,62.5,0
tracked_Traj_Set7.nd2_crop,67.5,0
tracked_Traj_Set7.nd2_crop,72.5,0
tracked_Traj_Set7.nd2_crop,77.5,1
tracked_Traj_Set7.nd2_crop,82.5,1
tracked_Traj_Set7.nd2_crop,87.5,0
tracked_Traj_Set7.nd2_crop,92.5,0
tracked_Traj_Set7.nd2_crop,97.5,0
tracked_Traj_Set7001.nd2_crop,2.5,0
tracked_Traj_Set7001.nd2_crop,7.5,0
tracked_Traj_Set7001.nd2_crop,12.5,343
tracked_Traj_Set7001.nd2_crop,17.5,92
tracked_Traj_Set7001.nd2_crop,22.5,28
tracked_Traj_Set7001.nd2_crop,27.5,21
tracked_Traj_Set7001.nd2_crop,32.5,6
tracked_Traj_Set7001.nd2_crop,37.5,3
tracked_Traj_Set7001.nd2_crop,42.5,2
tracked_Traj_Set7001.nd2_crop,47.5,2
tracked_Traj_Set7001.nd2_crop,52.5,3
tracked_Traj_Set7001.nd2_crop,57.5,1
tracked_Traj_Set7001.nd2_crop,62.5,3
tracked_Traj_Set7001.nd2_crop,67.5,0
tracked_Traj_Set7001.nd2_crop,72.5,0
tracked_Traj_Set7001.nd2_crop,77.5,1
tracked_Traj_Set7001.nd2_crop,82.5,2
tracked_Traj_Set7001.nd2_crop,87.5,0
tracked_Traj_Set7001.nd2_crop,92.5,0
tracked_Traj_Set7001.nd2_crop,97.5,0
tracked_Traj_Set8.nd2_crop,2.5,0
tracked_Traj_Set8.nd2_crop,7.5,0
tracked_Traj_Set8.nd2_crop,12.5,371
tracked_Traj_Set8.nd2_crop,17.5,63
tracked_Traj_Set8.nd2_crop,22.5,35
tracked_Traj_Set8.nd2_crop,27.5,21
tracked_Traj_Set8.nd2_crop,32.5,8
tracked_Traj_Set8.nd2_crop,37.5,4
tracked_Traj_Set8.nd2_crop,42.5,7
tracked_Traj_Set8.nd2_crop,47.5,1
tracked_Traj_Set8.nd2_crop,52.5,0
tracked_Traj_Set8.nd2_crop,57.5,2
tracked_Traj_Set8.nd2_crop,62.5,1
tracked_Traj_Set8.nd2_crop,67.5,0
tracked_Traj_Set8.nd2_crop,72.5,0
tracked_Traj_Set8.nd2_crop,77.5,1
tracked_Traj_Set8.nd2_crop,82.5,0
tracked_Traj_Set8.nd2_crop,87.5,0
tracked_Traj_Set8.nd2_crop,92.5,1
tracked_Traj_Set8.nd2_crop,97.5,2
tracked_Traj_Set8002.nd2_crop,2.5,0
tracked_Traj_Set8002.nd2_crop,7.5,0
tracked_Traj_Set8002.nd2_crop,12.5,228
tracked_Traj_Set8002.nd2_crop,17.5,74
tracked_Traj_Set8002.nd2_crop,22.5,28
tracked_Traj_Set8002.nd2_crop,27.5,13
tracked_Traj_Set8002.nd2_crop,32.5,12
tracked_Traj_Set8002.nd2_crop,37.5,6
tracked_Traj_Set8002.nd2_crop,42.5,6
tracked_Traj_Set8002.nd2_crop,47.5,0
tracked_Traj_Set8002.nd2_crop,52.5,1
tracked_Traj_Set8002.nd2_crop,57.5,1
tracked_Traj_Set8002.nd2_crop,62.5,1
tracked_Traj_Set8002.nd2_crop,67.5,5
tracked_Traj_Set8002.nd2_crop,72.5,0
tracked_Traj_Set8002.nd2_crop,77.5,0
tracked_Traj_Set8002.nd2_crop,82.5,0
tracked_Traj_Set8002.nd2_crop,87.5,0
tracked_Traj_Set8002.nd2_crop,92.5,0
tracked_Traj_Set8002.nd2_crop,97.5,0
tracked_Traj_Set8004.nd2_crop,2.5,0
tracked_Traj_Set8004.nd2_crop,7.5,0
tracked_Traj_Set8004.nd2_crop,12.5,548
tracked_Traj_Set8004.nd2_crop,17.5,128
tracked_Traj_Set8004.nd2_crop,22.5,48
tracked_Traj_Set8004.nd2_crop,27.5,26
tracked_Traj_Set8004.nd2_crop,32.5,13
tracked_Traj_Set8004.nd2_crop,37.5,10
tracked_Traj_Set8004.nd2_crop,42.5,8
tracked_Traj_Set8004.nd2_crop,47.5,6
tracked_Traj_Set8004.nd2_crop,52.5,6
tracked_Traj_Set8004.nd2_crop,57.5,2
tracked_Traj_Set8004.nd2_crop,62.5,1
tracked_Traj_Set8004.nd2_crop,67.5,1
tracked_Traj_Set8004.nd2_crop,72.5,1
tracked_Traj_Set8004.nd2_crop,77.5,0
tracked_Traj_Set8004.nd2_crop,82.5,1
tracked_Traj_Set8004.nd2_crop,87.5,0
tracked_Traj_Set8004.nd2_crop,92.5,0
tracked_Traj_Set8004.nd2_crop,97.5,0
tracked_Traj_Set8006.nd2_crop,2.5,0
tracked_Traj_Set8006.nd2_crop,7.5,0
tracked_Traj_Set8006.nd2_crop,12.5,362
tracked_Traj_Set8006.nd2_crop,17.5,85
tracked_Traj_Set8006.nd2_crop,22.5,39
tracked_Traj_Set8006.nd2_crop,27.5,13
tracked_Traj_Set8006.nd2_crop,32.5,5
tracked_Traj_Set8006.nd2_crop,37.5,8
tracked_Traj_Set8006.nd2_crop,42.5,2
tracked_Traj_Set8006.nd2_crop,47.5,3
tracked_Traj_Set8006.nd2_crop,52.5,1
tracked_Traj_Set8006.nd2_crop,57.5,2
tracked_Traj_Set8006.nd2_crop,62.5,0
tracked_Traj_Set8006.nd2_crop,67.5,0
tracked_Traj_Set8006.nd2_crop,72.5,1
tracked_Traj_Set8006.nd2_crop,77.5,0
tracked_Traj_Set8006.nd2_crop,82.5,0
tracked_Traj_Set8006.nd2_crop,87.5,1
tracked_Traj_Set8006.nd2_crop,92.5,1
tracked_Traj_Set8006.nd2_crop,97.5,0
tracked_Traj_Set9002.nd2_crop,2.5,0
tracked_Traj_Set9002.nd2_crop,7.5,0
tracked_Traj_Set9002.nd2_crop,12.5,188
tracked_Traj_Set9002.nd2_crop,17.5,45
tracked_Traj_Set9002.nd2_crop,22.5,17
tracked_Traj_Set9002.nd2_crop,27.5,4
tracked_Traj_Set9002.nd2_crop,32.5,7
tracked_Traj_Set9002.nd2_crop,37.5,4
tracked_Traj_Set9002.nd2_crop,42.5,2
tracked_Traj_Set9002.nd2_crop,47.5,0
tracked_Traj_Set9002.nd2_crop,52.5,0
tracked_Traj_Set9002.nd2_crop,57.5,2
tracked_Traj_Set9002.nd2_crop,62.5,3
tracked_Traj_Set9002.nd2_crop,67.5,0
tracked_Traj_Set9002.nd2_crop,72.5,1
tracked_Traj_Set9002.nd2_crop,77.5,0
tracked_Traj_Set9002.nd2_crop,82.5,1
tracked_Traj_Set9002.nd2_crop,87.5,0
tracked_Traj_Set9002.nd2_crop,92.5,0
tracked_Traj_Set9002.nd2_crop,97.5,0
tracked_Traj_Set9003.nd2_crop,2.5,0
tracked_Traj_Set9003.nd2_crop,7.5,0
tracked_Traj_Set9003.nd2_crop,12.5,298
tracked_Traj_Set9003.nd2_crop,17.5,77
tracked_Traj_Set9003.nd2_crop,22.5,34
tracked_Traj_Set9003.nd2_crop,27.5,13
tracked_Traj_Set9003.nd2_crop,32.5,12
tracked_Traj_Set9003.nd2_crop,37.5,4
tracked_Traj_Set9003.nd2_crop,42.5,3
tracked_Traj_Set9003.nd2_crop,47.5,4
tracked_Traj_Set9003.nd2_crop,52.5,0
tracked_Traj_Set9003.nd2_crop,57.5,1
tracked_Traj_Set9003.nd2_crop,62.5,2
tracked_Traj_Set9003.nd2_crop,67.5,0
tracked_Traj_Set9003.nd2_crop,72.5,2
tracked_Traj_Set9003.nd2_crop,77.5,0
tracked_Traj_Set9003.nd2_crop,82.5,2
tracked_Traj_Set9003.nd2_crop,87.5,0
tracked_Traj_Set9003.nd2_crop,92.5,0
tracked_Traj_Set9003.nd2_crop,97.5,0
