embryo,noise_floor_D_um2s,partition_size_used,note
Round2_Set1,0.02622974132685317,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Round2_Set1001,0.019221440403068245,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Round2_Set1002,0.015372165373706618,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Round2_Set1003,0.02728112481236439,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Round2_Set1004,0.01303676068410367,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Round2_Set1005,0.017107148909954142,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Round2_Set1006,0.020731373204796254,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Round2_Set1007,0.02675299649430351,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Round2_Set1008,0.02092298259280975,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Round2_Set1009,0.022360952834069858,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Round2_Set1010,0.02894561276129947,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Round2_Set1011,0.0262597389134132,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Round2_Set1012,0.014097463175435405,5,Mean D from 5-frame partitions (upper-bound noise estimate)
