FileName,Frame,ParticleCount
Round2_Set1.nd2_crop.tif,16,361

Round2_Set1.nd2_crop.tif,46,343

Round2_Set1.nd2_crop.tif,76,335

Round2_Set1.nd2_crop.tif,106,334

Round2_Set1.nd2_crop.tif,136,363

Round2_Set1.nd2_crop.tif,166,331

Round2_Set1.nd2_crop.tif,196,341

Round2_Set1.nd2_crop.tif,226,351

Round2_Set1.nd2_crop.tif,256,336

Round2_Set1.nd2_crop.tif,286,314

Round2_Set1001.nd2_crop.tif,16,230

Round2_Set1001.nd2_crop.tif,46,293

Round2_Set1001.nd2_crop.tif,76,291

Round2_Set1001.nd2_crop.tif,106,276

Round2_Set1001.nd2_crop.tif,136,295

Round2_Set1001.nd2_crop.tif,166,274

Round2_Set1001.nd2_crop.tif,196,281

Round2_Set1001.nd2_crop.tif,226,259

Round2_Set1001.nd2_crop.tif,256,283

Round2_Set1001.nd2_crop.tif,286,277

Round2_Set1002.nd2_crop.tif,16,234

Round2_Set1002.nd2_crop.tif,46,241

Round2_Set1002.nd2_crop.tif,76,217

Round2_Set1002.nd2_crop.tif,106,257

Round2_Set1002.nd2_crop.tif,136,236

Round2_Set1002.nd2_crop.tif,166,236

Round2_Set1002.nd2_crop.tif,196,234

Round2_Set1002.nd2_crop.tif,226,232

Round2_Set1002.nd2_crop.tif,256,231

Round2_Set1002.nd2_crop.tif,286,240

Round2_Set1003.nd2_crop.tif,16,221

Round2_Set1003.nd2_crop.tif,46,240

Round2_Set1003.nd2_crop.tif,76,231

Round2_Set1003.nd2_crop.tif,106,240

Round2_Set1003.nd2_crop.tif,136,233

Round2_Set1003.nd2_crop.tif,166,239

Round2_Set1003.nd2_crop.tif,196,238

Round2_Set1003.nd2_crop.tif,226,233

Round2_Set1003.nd2_crop.tif,256,217

Round2_Set1003.nd2_crop.tif,286,211

Round2_Set1004.nd2_crop.tif,16,316

Round2_Set1004.nd2_crop.tif,46,333

Round2_Set1004.nd2_crop.tif,76,311

Round2_Set1004.nd2_crop.tif,106,322

Round2_Set1004.nd2_crop.tif,136,330

Round2_Set1004.nd2_crop.tif,166,346

Round2_Set1004.nd2_crop.tif,196,308

Round2_Set1004.nd2_crop.tif,226,334

Round2_Set1004.nd2_crop.tif,256,321

Round2_Set1004.nd2_crop.tif,286,316

Round2_Set1005.nd2_crop.tif,16,312

Round2_Set1005.nd2_crop.tif,46,335

Round2_Set1005.nd2_crop.tif,76,322

Round2_Set1005.nd2_crop.tif,106,295

Round2_Set1005.nd2_crop.tif,136,311

Round2_Set1005.nd2_crop.tif,166,304

Round2_Set1005.nd2_crop.tif,196,308

Round2_Set1005.nd2_crop.tif,226,321

Round2_Set1005.nd2_crop.tif,256,304

Round2_Set1005.nd2_crop.tif,286,306

Round2_Set1006.nd2_crop.tif,16,245

Round2_Set1006.nd2_crop.tif,46,242

Round2_Set1006.nd2_crop.tif,76,236

Round2_Set1006.nd2_crop.tif,106,234

Round2_Set1006.nd2_crop.tif,136,244

Round2_Set1006.nd2_crop.tif,166,230

Round2_Set1006.nd2_crop.tif,196,241

Round2_Set1006.nd2_crop.tif,226,237

Round2_Set1006.nd2_crop.tif,256,225

Round2_Set1006.nd2_crop.tif,286,243

Round2_Set1007.nd2_crop.tif,16,225

Round2_Set1007.nd2_crop.tif,46,240

Round2_Set1007.nd2_crop.tif,76,211

Round2_Set1007.nd2_crop.tif,106,229

Round2_Set1007.nd2_crop.tif,136,245

Round2_Set1007.nd2_crop.tif,166,219

Round2_Set1007.nd2_crop.tif,196,231

Round2_Set1007.nd2_crop.tif,226,229

Round2_Set1007.nd2_crop.tif,256,220

Round2_Set1007.nd2_crop.tif,286,253

Round2_Set1008.nd2_crop.tif,16,283

Round2_Set1008.nd2_crop.tif,46,271

Round2_Set1008.nd2_crop.tif,76,286

Round2_Set1008.nd2_crop.tif,106,285

Round2_Set1008.nd2_crop.tif,136,283

Round2_Set1008.nd2_crop.tif,166,264

Round2_Set1008.nd2_crop.tif,196,254

Round2_Set1008.nd2_crop.tif,226,277

Round2_Set1008.nd2_crop.tif,256,242

Round2_Set1008.nd2_crop.tif,286,239

Round2_Set1009.nd2_crop.tif,16,236

Round2_Set1009.nd2_crop.tif,46,239

Round2_Set1009.nd2_crop.tif,76,259

Round2_Set1009.nd2_crop.tif,106,237

Round2_Set1009.nd2_crop.tif,136,222

Round2_Set1009.nd2_crop.tif,166,236

Round2_Set1009.nd2_crop.tif,196,213

Round2_Set1009.nd2_crop.tif,226,230

Round2_Set1009.nd2_crop.tif,256,217

Round2_Set1009.nd2_crop.tif,286,251

Round2_Set1010.nd2_crop.tif,16,245

Round2_Set1010.nd2_crop.tif,46,239

Round2_Set1010.nd2_crop.tif,76,210

Round2_Set1010.nd2_crop.tif,106,228

Round2_Set1010.nd2_crop.tif,136,208

Round2_Set1010.nd2_crop.tif,166,212

Round2_Set1010.nd2_crop.tif,196,214

Round2_Set1010.nd2_crop.tif,226,208

Round2_Set1010.nd2_crop.tif,256,216

Round2_Set1010.nd2_crop.tif,286,204

Round2_Set1011.nd2_crop.tif,16,204

Round2_Set1011.nd2_crop.tif,46,221

Round2_Set1011.nd2_crop.tif,76,199

Round2_Set1011.nd2_crop.tif,106,211

Round2_Set1011.nd2_crop.tif,136,228

Round2_Set1011.nd2_crop.tif,166,214

Round2_Set1011.nd2_crop.tif,196,223

Round2_Set1011.nd2_crop.tif,226,224

Round2_Set1011.nd2_crop.tif,256,210

Round2_Set1011.nd2_crop.tif,286,203

Round2_Set1012.nd2_crop.tif,16,271

Round2_Set1012.nd2_crop.tif,46,266

Round2_Set1012.nd2_crop.tif,76,279

Round2_Set1012.nd2_crop.tif,106,265

