FileName,MeanParticlesPerFrame,StdParticlesPerFrame,FramesSampled,TotalFrames,MedianParticlesPerFrame
Round2_Set1.nd2_crop.tif,340.90,14.63,10,300,338.50

Round2_Set1001.nd2_crop.tif,275.90,19.32,10,300,279.00

Round2_Set1002.nd2_crop.tif,235.80,9.95,10,300,235.00

Round2_Set1003.nd2_crop.tif,230.30,10.40,10,300,233.00

Round2_Set1004.nd2_crop.tif,323.70,11.86,10,300,321.50

Round2_Set1005.nd2_crop.tif,311.80,11.45,10,300,309.50

Round2_Set1006.nd2_crop.tif,237.70,6.57,10,300,239.00

Round2_Set1007.nd2_crop.tif,230.20,12.75,10,300,229.00

Round2_Set1008.nd2_crop.tif,268.40,17.89,10,300,274.00

Round2_Set1009.nd2_crop.tif,234.00,14.32,10,300,236.00

Round2_Set1010.nd2_crop.tif,218.40,14.08,10,300,213.00

Round2_Set1011.nd2_crop.tif,213.70,9.98,10,300,212.50

Round2_Set1012.nd2_crop.tif,272.70,9.09,10,300,269.00

