FileName,TrackLength,Frequency
tracked_Traj_Round2_Set1.nd2_crop,2.5,0
tracked_Traj_Round2_Set1.nd2_crop,7.5,0
tracked_Traj_Round2_Set1.nd2_crop,12.5,194
tracked_Traj_Round2_Set1.nd2_crop,17.5,68
tracked_Traj_Round2_Set1.nd2_crop,22.5,18
tracked_Traj_Round2_Set1.nd2_crop,27.5,11
tracked_Traj_Round2_Set1.nd2_crop,32.5,4
tracked_Traj_Round2_Set1.nd2_crop,37.5,6
tracked_Traj_Round2_Set1.nd2_crop,42.5,2
tracked_Traj_Round2_Set1.nd2_crop,47.5,1
tracked_Traj_Round2_Set1.nd2_crop,52.5,0
tracked_Traj_Round2_Set1.nd2_crop,57.5,0
tracked_Traj_Round2_Set1.nd2_crop,62.5,0
tracked_Traj_Round2_Set1.nd2_crop,67.5,1
tracked_Traj_Round2_Set1.nd2_crop,72.5,0
tracked_Traj_Round2_Set1.nd2_crop,77.5,0
tracked_Traj_Round2_Set1.nd2_crop,82.5,0
tracked_Traj_Round2_Set1.nd2_crop,87.5,0
tracked_Traj_Round2_Set1.nd2_crop,92.5,1
tracked_Traj_Round2_Set1.nd2_crop,97.5,0
tracked_Traj_Round2_Set1001.nd2_crop,2.5,0
tracked_Traj_Round2_Set1001.nd2_crop,7.5,0
tracked_Traj_Round2_Set1001.nd2_crop,12.5,124
tracked_Traj_Round2_Set1001.nd2_crop,17.5,30
tracked_Traj_Round2_Set1001.nd2_crop,22.5,13
tracked_Traj_Round2_Set1001.nd2_crop,27.5,6
tracked_Traj_Round2_Set1001.nd2_crop,32.5,4
tracked_Traj_Round2_Set1001.nd2_crop,37.5,4
tracked_Traj_Round2_Set1001.nd2_crop,42.5,1
tracked_Traj_Round2_Set1001.nd2_crop,47.5,3
tracked_Traj_Round2_Set1001.nd2_crop,52.5,1
tracked_Traj_Round2_Set1001.nd2_crop,57.5,3
tracked_Traj_Round2_Set1001.nd2_crop,62.5,1
tracked_Traj_Round2_Set1001.nd2_crop,67.5,0
tracked_Traj_Round2_Set1001.nd2_crop,72.5,0
tracked_Traj_Round2_Set1001.nd2_crop,77.5,1
tracked_Traj_Round2_Set1001.nd2_crop,82.5,0
tracked_Traj_Round2_Set1001.nd2_crop,87.5,0
tracked_Traj_Round2_Set1001.nd2_crop,92.5,1
tracked_Traj_Round2_Set1001.nd2_crop,97.5,0
tracked_Traj_Round2_Set1002.nd2_crop,2.5,0
tracked_Traj_Round2_Set1002.nd2_crop,7.5,0
tracked_Traj_Round2_Set1002.nd2_crop,12.5,88
tracked_Traj_Round2_Set1002.nd2_crop,17.5,23
tracked_Traj_Round2_Set1002.nd2_crop,22.5,9
tracked_Traj_Round2_Set1002.nd2_crop,27.5,5
tracked_Traj_Round2_Set1002.nd2_crop,32.5,4
tracked_Traj_Round2_Set1002.nd2_crop,37.5,2
tracked_Traj_Round2_Set1002.nd2_crop,42.5,2
tracked_Traj_Round2_Set1002.nd2_crop,47.5,1
tracked_Traj_Round2_Set1002.nd2_crop,52.5,1
tracked_Traj_Round2_Set1002.nd2_crop,57.5,0
tracked_Traj_Round2_Set1002.nd2_crop,62.5,2
tracked_Traj_Round2_Set1002.nd2_crop,67.5,0
tracked_Traj_Round2_Set1002.nd2_crop,72.5,1
tracked_Traj_Round2_Set1002.nd2_crop,77.5,0
tracked_Traj_Round2_Set1002.nd2_crop,82.5,1
tracked_Traj_Round2_Set1002.nd2_crop,87.5,0
tracked_Traj_Round2_Set1002.nd2_crop,92.5,2
tracked_Traj_Round2_Set1002.nd2_crop,97.5,0
tracked_Traj_Round2_Set1003.nd2_crop,2.5,0
tracked_Traj_Round2_Set1003.nd2_crop,7.5,0
tracked_Traj_Round2_Set1003.nd2_crop,12.5,135
tracked_Traj_Round2_Set1003.nd2_crop,17.5,19
tracked_Traj_Round2_Set1003.nd2_crop,22.5,6
tracked_Traj_Round2_Set1003.nd2_crop,27.5,6
tracked_Traj_Round2_Set1003.nd2_crop,32.5,2
tracked_Traj_Round2_Set1003.nd2_crop,37.5,1
tracked_Traj_Round2_Set1003.nd2_crop,42.5,0
tracked_Traj_Round2_Set1003.nd2_crop,47.5,0
tracked_Traj_Round2_Set1003.nd2_crop,52.5,2
tracked_Traj_Round2_Set1003.nd2_crop,57.5,0
tracked_Traj_Round2_Set1003.nd2_crop,62.5,1
tracked_Traj_Round2_Set1003.nd2_crop,67.5,1
tracked_Traj_Round2_Set1003.nd2_crop,72.5,0
tracked_Traj_Round2_Set1003.nd2_crop,77.5,0
tracked_Traj_Round2_Set1003.nd2_crop,82.5,0
tracked_Traj_Round2_Set1003.nd2_crop,87.5,0
tracked_Traj_Round2_Set1003.nd2_crop,92.5,0
tracked_Traj_Round2_Set1003.nd2_crop,97.5,0
tracked_Traj_Round2_Set1004.nd2_crop,2.5,0
tracked_Traj_Round2_Set1004.nd2_crop,7.5,0
tracked_Traj_Round2_Set1004.nd2_crop,12.5,160
tracked_Traj_Round2_Set1004.nd2_crop,17.5,59
tracked_Traj_Round2_Set1004.nd2_crop,22.5,27
tracked_Traj_Round2_Set1004.nd2_crop,27.5,12
tracked_Traj_Round2_Set1004.nd2_crop,32.5,3
tracked_Traj_Round2_Set1004.nd2_crop,37.5,6
tracked_Traj_Round2_Set1004.nd2_crop,42.5,6
tracked_Traj_Round2_Set1004.nd2_crop,47.5,5
tracked_Traj_Round2_Set1004.nd2_crop,52.5,4
tracked_Traj_Round2_Set1004.nd2_crop,57.5,0
tracked_Traj_Round2_Set1004.nd2_crop,62.5,2
tracked_Traj_Round2_Set1004.nd2_crop,67.5,1
tracked_Traj_Round2_Set1004.nd2_crop,72.5,1
tracked_Traj_Round2_Set1004.nd2_crop,77.5,0
tracked_Traj_Round2_Set1004.nd2_crop,82.5,0
tracked_Traj_Round2_Set1004.nd2_crop,87.5,1
tracked_Traj_Round2_Set1004.nd2_crop,92.5,0
tracked_Traj_Round2_Set1004.nd2_crop,97.5,1
tracked_Traj_Round2_Set1005.nd2_crop,2.5,0
tracked_Traj_Round2_Set1005.nd2_crop,7.5,0
tracked_Traj_Round2_Set1005.nd2_crop,12.5,174
tracked_Traj_Round2_Set1005.nd2_crop,17.5,53
tracked_Traj_Round2_Set1005.nd2_crop,22.5,19
tracked_Traj_Round2_Set1005.nd2_crop,27.5,9
tracked_Traj_Round2_Set1005.nd2_crop,32.5,5
tracked_Traj_Round2_Set1005.nd2_crop,37.5,4
tracked_Traj_Round2_Set1005.nd2_crop,42.5,2
tracked_Traj_Round2_Set1005.nd2_crop,47.5,2
tracked_Traj_Round2_Set1005.nd2_crop,52.5,0
tracked_Traj_Round2_Set1005.nd2_crop,57.5,0
tracked_Traj_Round2_Set1005.nd2_crop,62.5,0
tracked_Traj_Round2_Set1005.nd2_crop,67.5,2
tracked_Traj_Round2_Set1005.nd2_crop,72.5,0
tracked_Traj_Round2_Set1005.nd2_crop,77.5,0
tracked_Traj_Round2_Set1005.nd2_crop,82.5,1
tracked_Traj_Round2_Set1005.nd2_crop,87.5,0
tracked_Traj_Round2_Set1005.nd2_crop,92.5,0
tracked_Traj_Round2_Set1005.nd2_crop,97.5,0
tracked_Traj_Round2_Set1006.nd2_crop,2.5,0
tracked_Traj_Round2_Set1006.nd2_crop,7.5,0
tracked_Traj_Round2_Set1006.nd2_crop,12.5,90
tracked_Traj_Round2_Set1006.nd2_crop,17.5,24
tracked_Traj_Round2_Set1006.nd2_crop,22.5,8
tracked_Traj_Round2_Set1006.nd2_crop,27.5,5
tracked_Traj_Round2_Set1006.nd2_crop,32.5,4
tracked_Traj_Round2_Set1006.nd2_crop,37.5,3
tracked_Traj_Round2_Set1006.nd2_crop,42.5,2
tracked_Traj_Round2_Set1006.nd2_crop,47.5,1
tracked_Traj_Round2_Set1006.nd2_crop,52.5,0
tracked_Traj_Round2_Set1006.nd2_crop,57.5,0
tracked_Traj_Round2_Set1006.nd2_crop,62.5,0
tracked_Traj_Round2_Set1006.nd2_crop,67.5,0
tracked_Traj_Round2_Set1006.nd2_crop,72.5,0
tracked_Traj_Round2_Set1006.nd2_crop,77.5,0
tracked_Traj_Round2_Set1006.nd2_crop,82.5,0
tracked_Traj_Round2_Set1006.nd2_crop,87.5,0
tracked_Traj_Round2_Set1006.nd2_crop,92.5,0
tracked_Traj_Round2_Set1006.nd2_crop,97.5,0
tracked_Traj_Round2_Set1007.nd2_crop,2.5,0
tracked_Traj_Round2_Set1007.nd2_crop,7.5,0
tracked_Traj_Round2_Set1007.nd2_crop,12.5,127
tracked_Traj_Round2_Set1007.nd2_crop,17.5,25
tracked_Traj_Round2_Set1007.nd2_crop,22.5,8
tracked_Traj_Round2_Set1007.nd2_crop,27.5,3
tracked_Traj_Round2_Set1007.nd2_crop,32.5,2
tracked_Traj_Round2_Set1007.nd2_crop,37.5,2
tracked_Traj_Round2_Set1007.nd2_crop,42.5,0
tracked_Traj_Round2_Set1007.nd2_crop,47.5,0
tracked_Traj_Round2_Set1007.nd2_crop,52.5,0
tracked_Traj_Round2_Set1007.nd2_crop,57.5,0
tracked_Traj_Round2_Set1007.nd2_crop,62.5,0
tracked_Traj_Round2_Set1007.nd2_crop,67.5,0
tracked_Traj_Round2_Set1007.nd2_crop,72.5,1
tracked_Traj_Round2_Set1007.nd2_crop,77.5,0
tracked_Traj_Round2_Set1007.nd2_crop,82.5,0
