FileName,TrackLength,Frequency
tracked_Traj_Em001.nd2_crop,2.5,0
tracked_Traj_Em001.nd2_crop,7.5,0
tracked_Traj_Em001.nd2_crop,12.5,35
tracked_Traj_Em001.nd2_crop,17.5,15
tracked_Traj_Em001.nd2_crop,22.5,11
tracked_Traj_Em001.nd2_crop,27.5,5
tracked_Traj_Em001.nd2_crop,32.5,3
tracked_Traj_Em001.nd2_crop,37.5,5
tracked_Traj_Em001.nd2_crop,42.5,4
tracked_Traj_Em001.nd2_crop,47.5,3
tracked_Traj_Em001.nd2_crop,52.5,2
tracked_Traj_Em001.nd2_crop,57.5,0
tracked_Traj_Em001.nd2_crop,62.5,0
tracked_Traj_Em001.nd2_crop,67.5,1
tracked_Traj_Em001.nd2_crop,72.5,1
tracked_Traj_Em001.nd2_crop,77.5,1
tracked_Traj_Em001.nd2_crop,82.5,0
tracked_Traj_Em001.nd2_crop,87.5,0
tracked_Traj_Em001.nd2_crop,92.5,0
tracked_Traj_Em001.nd2_crop,97.5,1
tracked_Traj_Em2.nd2_crop,2.5,0
tracked_Traj_Em2.nd2_crop,7.5,0
tracked_Traj_Em2.nd2_crop,12.5,171
tracked_Traj_Em2.nd2_crop,17.5,82
tracked_Traj_Em2.nd2_crop,22.5,30
tracked_Traj_Em2.nd2_crop,27.5,28
tracked_Traj_Em2.nd2_crop,32.5,9
tracked_Traj_Em2.nd2_crop,37.5,8
tracked_Traj_Em2.nd2_crop,42.5,8
tracked_Traj_Em2.nd2_crop,47.5,3
tracked_Traj_Em2.nd2_crop,52.5,5
tracked_Traj_Em2.nd2_crop,57.5,1
tracked_Traj_Em2.nd2_crop,62.5,4
tracked_Traj_Em2.nd2_crop,67.5,1
tracked_Traj_Em2.nd2_crop,72.5,1
tracked_Traj_Em2.nd2_crop,77.5,2
tracked_Traj_Em2.nd2_crop,82.5,1
tracked_Traj_Em2.nd2_crop,87.5,2
tracked_Traj_Em2.nd2_crop,92.5,1
tracked_Traj_Em2.nd2_crop,97.5,2
