movie,pixel_um,dt,n_frames,tracking_D,max_drift_px,imsd_D,imsd_w0,imsd_r2,dmap_median_D,n_valid_tiles,nb_median_B,nb_median_N
Em.nd2_crop,0.094000,0.100000,300,,0.000000,-0.011148,0.497744,0.608395,0.081177,170,31.339081,1.441674
Em001.nd2_crop,0.094000,0.100000,300,,0.000000,0.002506,0.518488,0.052895,0.056985,170,10.390884,2.819431
Em002.nd2_crop,0.094000,0.100000,300,,0.000000,0.004301,0.379812,0.678635,0.033386,170,38.485519,1.358343
Em003.nd2_crop,0.094000,0.100000,300,,0.000000,-0.017461,0.471244,0.840086,0.076501,137,9.062450,3.105249
Em004.nd2_crop,0.094000,0.100000,300,,0.000000,0.085093,0.000000,0.737607,0.063112,161,10.634583,2.778699
Em1.nd2_crop,0.094000,0.100000,300,,0.000000,0.000990,0.388879,0.105760,0.057963,156,10.615244,2.698718
Em2.nd2_crop,0.094000,0.100000,300,,0.000000,-0.009511,0.456686,0.752805,0.115304,153,23.403122,1.720392
Em4.nd2_crop,0.094000,0.100000,300,,1.410000,-0.004039,0.482858,0.109770,0.100134,161,10.113111,2.669135
Em5.nd2_crop,0.094000,0.100000,300,,0.000000,-0.008530,0.468327,0.623404,0.086060,185,13.062218,2.211720
Em6.nd2_crop,0.094000,0.100000,300,,0.000000,-0.007653,0.437700,0.669614,0.055125,178,33.987324,1.306689
Em7.nd2_crop,0.094000,0.100000,300,,0.000000,-0.003830,0.443261,0.296011,0.063699,173,21.929790,1.712680
