 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,620.135,68.682,0,1.089,1.597,3.116,6.685,15.383,0.019
2,1,1,621.090,68.384,0,1.062,1.522,2.866,5.960,13.354,0.041
3,1,2,620.653,68.430,0,1.263,1.512,2.811,5.749,12.647,0.034
4,1,3,620.840,67.727,0,1.161,1.473,2.690,5.418,11.762,0.034
5,1,4,620.778,68.164,0,1.067,1.493,2.748,5.569,12.151,0.050
6,1,5,621.079,67.610,0,1.276,1.396,2.445,4.736,9.930,0.027
7,1,6,620.801,67.635,0,1.152,1.453,2.600,5.101,10.741,0.043
8,1,7,620.700,68.156,0,1.235,1.361,2.314,4.326,8.713,0.035
9,1,8,620.554,68.197,0,1.125,1.382,2.380,4.509,9.206,0.055
10,1,9,620.012,68.301,0,1.158,1.393,2.422,4.639,9.585,0.055
11,1,10,619.459,68.359,0,1.283,1.353,2.272,4.168,8.186,0.032
12,1,11,619.304,68.084,0,1.201,1.431,2.558,5.065,10.875,0.045
13,1,12,619.238,68.181,0,1.294,1.404,2.444,4.676,9.632,0.029
14,1,13,619.603,68.156,0,1.266,1.367,2.349,4.467,9.219,0.030
15,1,14,619.800,68.034,0,1.163,1.442,2.594,5.167,11.143,0.040
16,1,15,619.540,66.732,0,1.231,1.423,2.541,5.043,10.882,0.041
17,1,16,619.553,66.478,0,1.257,1.454,2.634,5.282,11.467,0.029
18,1,17,619.611,67.169,0,1.378,1.517,2.873,6.033,13.696,0.019
19,1,18,619.627,67.764,0,0.996,1.442,2.596,5.173,11.163,0.073
20,1,19,620.029,67.375,0,1.120,1.399,2.454,4.763,10.011,0.057
21,1,20,619.893,67.700,0,0.799,1.419,2.514,4.924,10.437,0.143
22,2,0,426.656,114.517,0,0.804,1.300,2.119,3.787,7.287,0.059
23,2,1,426.296,116.243,0,0.861,1.297,2.106,3.761,7.247,0.065
24,3,0,198.355,119.328,0,1.108,1.356,2.283,4.206,8.308,0.055
25,3,1,198.478,119.079,0,1.030,1.335,2.240,4.132,8.206,0.069
26,3,2,198.693,118.982,0,0.815,1.361,2.317,4.352,8.836,0.135
27,3,3,198.936,118.703,0,0.894,1.353,2.315,4.405,9.138,0.104
28,3,4,198.635,118.841,0,0.786,1.345,2.255,4.137,8.139,0.118
29,3,5,198.193,118.851,0,0.908,1.369,2.332,4.355,8.735,0.099
30,4,0,261.256,121.653,0,1.195,1.600,3.169,6.942,16.352,0.010
31,4,1,259.654,120.216,0,1.523,1.410,2.473,4.771,9.909,0.023
32,4,2,259.708,120.210,0,1.482,1.447,2.621,5.270,11.501,0.012
33,4,3,259.546,120.358,0,1.598,1.374,2.355,4.447,9.065,0.013
34,4,4,259.426,120.286,0,1.528,1.384,2.396,4.577,9.445,0.022
35,4,5,259.211,119.661,0,1.699,1.499,2.775,5.666,12.467,0.006
36,4,6,258.759,119.657,0,1.702,1.531,2.889,6.000,13.404,0.005
37,4,7,258.307,119.628,0,1.606,1.421,2.507,4.870,10.196,0.010
38,4,8,257.568,119.291,0,1.541,1.510,2.816,5.794,12.847,0.009
39,4,9,257.522,119.313,0,0.966,1.575,3.028,6.394,14.472,0.033
40,5,0,760.431,126.374,0,0.636,1.300,2.107,3.727,7.052,0.051
41,5,1,761.021,127.245,0,0.759,1.362,2.323,4.369,8.876,0.122
42,6,0,283.214,142.700,0,1.216,1.456,2.646,5.320,11.560,0.046
43,6,1,283.384,139.697,0,1.420,1.468,2.693,5.485,12.125,0.026
44,7,0,270.985,150.644,0,1.556,1.523,2.895,6.091,13.812,0.013
45,7,1,270.657,150.610,0,1.730,1.476,2.724,5.574,12.348,0.012
46,7,2,271.182,151.314,0,1.303,1.392,2.430,4.697,9.844,0.027
47,7,3,271.326,150.979,0,1.070,1.428,2.565,5.118,11.086,0.067
48,7,4,271.050,151.046,0,0.868,1.461,2.681,5.475,12.143,0.109
49,7,5,271.047,150.679,0,0.864,1.489,2.757,5.642,12.471,0.081
50,7,6,270.950,149.769,0,0.855,1.396,2.460,4.812,10.232,0.114
51,8,0,688.480,152.757,0,1.831,1.379,2.376,4.510,9.230,0.007
52,8,1,691.733,151.738,0,1.317,1.540,2.921,6.102,13.708,0.021
53,8,2,693.322,149.445,0,1.553,1.394,2.415,4.595,9.411,0.016
54,8,3,694.668,148.884,0,1.344,1.474,2.711,5.519,12.158,0.023
55,8,4,696.115,148.525,0,1.600,1.451,2.605,5.147,10.947,0.015
56,8,5,697.321,147.946,0,1.619,1.420,2.514,4.916,10.391,0.014
