 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,782.703,154.010,0,0.916,1.477,2.763,5.784,13.197,0.071
2,1,1,782.847,151.825,0,1.009,1.484,2.764,5.732,12.912,0.077
3,1,2,782.287,153.561,0,0.804,1.544,3.017,6.576,15.528,0.044
4,1,3,782.438,154.226,0,0.902,1.383,2.429,4.758,10.164,0.087
5,1,4,782.537,154.644,0,0.882,1.372,2.384,4.618,9.754,0.108
6,1,5,782.756,155.460,0,0.947,1.500,2.815,5.852,13.117,0.070
7,2,0,722.940,163.227,0,0.634,1.361,2.334,4.430,9.118,0.112
8,2,1,724.106,161.912,0,0.647,1.335,2.279,4.334,8.982,0.089
9,2,2,719.923,162.458,0,1.046,1.570,3.036,6.480,14.890,0.025
10,2,3,719.476,162.858,0,1.051,1.568,2.989,6.239,13.936,0.036
11,3,0,697.990,185.919,0,0.619,1.368,2.386,4.640,9.837,0.109
12,3,1,697.907,184.498,0,0.664,1.327,2.246,4.245,8.795,0.083
13,3,2,695.384,181.943,0,0.846,1.410,2.480,4.815,10.089,0.125
14,3,3,697.768,183.114,0,0.538,1.313,2.198,4.079,8.219,0.049
15,3,4,697.942,185.699,0,0.707,1.307,2.166,3.990,8.031,0.087
16,4,0,753.514,188.405,0,1.698,1.576,3.045,6.483,14.829,0.003
17,4,1,751.691,191.094,0,1.202,1.422,2.554,5.118,11.197,0.029
18,4,2,751.428,188.925,0,1.650,1.384,2.393,4.577,9.496,0.008
19,4,3,751.495,189.438,0,0.987,1.510,2.842,5.952,13.524,0.062
20,4,4,751.292,189.232,0,0.851,1.345,2.298,4.365,9.041,0.097
21,4,5,751.855,189.400,0,1.225,1.486,2.743,5.597,12.339,0.023
22,4,6,753.195,190.800,0,1.485,1.421,2.502,4.846,10.111,0.013
23,4,7,753.292,190.197,0,1.343,1.504,2.798,5.746,12.725,0.013
24,4,8,752.561,191.095,0,0.950,1.521,2.845,5.847,12.883,0.055
25,4,9,753.138,190.193,0,0.964,1.464,2.664,5.350,11.594,0.058
26,4,10,752.684,190.328,0,1.221,1.498,2.774,5.672,12.522,0.020
27,4,11,752.490,190.946,0,1.675,1.426,2.523,4.907,10.275,0.010
28,4,12,752.686,190.614,0,1.038,1.555,3.002,6.403,14.715,0.032
