Trajectory,cell_label,n_frames,D,D_err,r_squared,filtered
1,17,21,0.0032640010977634127,0.0003073960967631165,0.9260760344355233,ok
2,23,2,,,,short
3,25,6,,,,short
4,30,10,0.022426853362503087,0.002542590125905335,0.9511007104048009,ok
5,33,2,,,,short
6,30,2,,,,short
7,30,7,,,,short
8,36,10,0.2147536398484818,0.013507245136199887,0.9844226323217773,ok
9,30,3,,,,short
10,26,3,,,,short
11,48,4,,,,short
12,36,23,0.041187161473390244,0.0035146812753609805,0.9384933736247699,ok
13,44,18,0.005844989803557019,0.000853677143343221,0.8389382811065178,ok
14,44,32,0.022402160362276807,0.00022964404298700785,0.9990551505674046,ok
15,55,25,0.0252829873319773,0.0012918783547586285,0.9770415784013498,ok
16,45,6,,,,short
17,46,3,,,,short
18,44,6,,,,short
19,48,30,0.00785734448066331,0.000159303192332533,0.9963141638681057,ok
20,48,3,,,,short
21,56,4,,,,short
22,60,2,,,,short
23,45,2,,,,short
24,48,3,,,,short
25,49,6,,,,short
26,66,4,,,,short
27,56,4,,,,short
28,64,2,,,,short
29,72,19,0.007045854744787536,0.0016487483693510244,0.6698753825102386,ok
30,55,9,,,,short
31,72,6,,,,short
32,65,32,0.03876445220050292,0.0016573059259430156,0.9838156924520657,ok
33,58,8,,,,short
34,58,96,0.006948180640059829,0.00014491057523299372,0.9961005478807404,ok
35,61,2,,,,short
36,61,2,,,,short
37,59,14,0.05439906227291814,0.0014066764003653497,0.9960040698698878,ok
38,67,2,,,,short
39,59,2,,,,short
40,58,7,,,,short
41,69,3,,,,short
42,65,5,,,,short
43,72,6,,,,short
44,72,3,,,,short
45,77,9,,,,short
46,73,4,,,,short
47,72,13,0.061956512342670876,0.005025819030196654,0.9620183067377729,ok
48,80,17,0.007088912071585751,0.0007011655456130189,0.9274151231983814,ok
49,78,2,,,,short
50,67,3,,,,short
51,83,2,,,,short
52,82,51,0.024709554915609444,0.0003728501546106901,0.9979550046908152,ok
53,79,2,,,,short
54,88,22,0.006879850551527627,0.00036686902341759797,0.9750464747718722,ok
55,88,7,,,,short
56,82,10,0.020539340762638685,0.001998877653072255,0.9634985194149944,ok
57,90,19,0.005462427896009718,0.0015645952968622767,0.5752509249252685,ok
58,79,6,,,,short
59,61,3,,,,short
60,89,15,0.003634361911680764,0.0005129188972161213,0.8776360231190566,ok
61,86,2,,,,short
62,91,3,,,,short
63,92,5,,,,short
64,90,20,0.012071497139119192,0.0007349936753400229,0.9677125438992978,ok
65,89,12,0.02172258661119833,0.0013398849909681278,0.9813319908748781,ok
66,93,10,0.012637334153554667,0.0032540985919157386,0.7903747727975953,ok
67,94,13,0.006024837586520745,0.000651096817209018,0.9345155412639787,ok
68,93,96,0.07491584453984677,0.0030039723169363063,0.9857357970007771,ok
69,90,2,,,,short
70,95,3,,,,short
71,89,50,0.017549940728415026,0.000626658258149791,0.988655186680346,ok
72,104,2,,,,short
73,98,3,,,,short
74,97,10,,0.0024621767569829194,0.20651490487358903,negative_D
75,87,3,,,,short
76,97,2,,,,short
77,98,2,,,,short
78,101,2,,,,short
79,97,5,,,,short
80,103,13,0.007018737395062563,0.0004693882616313581,0.9738665304164519,ok
81,98,15,0.0414024202742494,0.0022726594385875276,0.979343795975874,ok
82,103,4,,,,short
83,107,2,,,,short
84,107,4,,,,short
85,98,2,,,,short
86,97,15,0.04251893405362608,0.0032885281016731644,0.9598096728569883,ok
87,110,41,0.005235651246987158,0.00039510260704703497,0.9512456277870586,ok
88,107,2,,,,short
89,97,26,0.013174409795227137,0.0009174801330696746,0.9581766288533919,ok
90,101,3,,,,short
91,103,2,,,,short
92,101,12,,0.001376551578927638,0.020939610440164125,negative_D
93,107,13,0.01610464437163909,0.001650800434483491,0.9406955525049526,ok
94,97,27,0.029901072397449286,0.00034663705227126886,0.998791924881556,ok
95,97,19,0.00950441691395667,0.0004992813810945425,0.9757658459661255,ok
96,105,14,0.020678876908166045,0.002318397165580779,0.9298712874342406,ok
97,111,2,,,,short
98,111,2,,,,short
99,114,4,,,,short
100,110,45,0.05717290511821385,0.003837794525358919,0.9610272441773621,ok
101,105,19,0.09242147352315455,0.006212507151615101,0.9609231800090372,ok
102,113,2,,,,short
103,115,96,0.00645544383420547,0.00011042384625778261,0.9973735234760581,ok
104,105,2,,,,short
105,113,6,,,,short
106,105,2,,,,short
107,117,6,,,,short
108,105,70,0.04684574148819492,0.0012740317122918148,0.993387261960207,ok
109,123,3,,,,short
110,127,15,0.01221591612185635,0.0008745543443989116,0.9653653166408817,ok
111,117,4,,,,short
112,119,33,0.06506318801849016,0.002937346960637244,0.9819869176008598,ok
113,119,8,,,,short
114,130,3,,,,short
115,125,2,,,,short
116,134,3,,,,short
117,128,3,,,,short
118,128,13,0.013515193151360771,0.0011220502334618704,0.9602870207547395,ok
119,126,9,,,,short
120,127,22,0.019609474940025722,0.0012974768902197869,0.9620923694716808,ok
121,127,53,0.03617975772755148,0.0004133891027347241,0.9988264022611923,ok
122,138,3,,,,short
123,129,4,,,,short
124,131,7,,,,short
125,143,2,,,,short
126,131,3,,,,short
127,140,3,,,,short
128,143,2,,,,short
129,143,11,0.012813158035292625,0.00381977011767741,0.7377429584085388,ok
130,143,34,0.03956448597170569,0.0015952613894973362,0.9855792879031271,ok
131,140,2,,,,short
132,131,2,,,,short
133,143,22,0.004303522428338951,0.001892871281641666,0.3648102100185492,ok
134,146,5,,,,short
135,150,4,,,,short
136,140,3,,,,short
137,147,37,0.025145299077877846,0.0015804625307726885,0.9656660110281513,ok
138,149,7,,,,short
139,133,2,,,,short
140,150,3,,,,short
141,133,8,,,,short
142,149,2,,,,short
143,147,4,,,,short
144,143,5,,,,short
145,133,11,0.057623979015315886,0.010540632339046967,0.8819584364968156,ok
146,135,6,,,,short
147,149,3,,,,short
148,149,50,0.004971930355012993,0.0001394985923033291,0.9929649673625295,ok
149,149,10,0.01585856429941197,0.0031505523385162524,0.8636531749167806,ok
150,147,2,,,,short
151,147,2,,,,short
152,130,2,,,,short
153,144,2,,,,short
154,147,12,0.09378959111558176,0.005385523318326753,0.9837813341334669,ok
155,130,3,,,,short
156,148,2,,,,short
157,150,3,,,,short
158,150,2,,,,short
159,130,11,0.06135024740388797,0.005724291811938876,0.9663484816592227,ok
160,154,2,,,,short
161,150,2,,,,short
162,130,6,,,,short
163,134,2,,,,short
164,146,2,,,,short
165,153,27,0.030922566829603152,0.001712191787504008,0.9731480910042665,ok
166,136,2,,,,short
167,157,2,,,,short
168,147,2,,,,short
169,150,2,,,,short
170,159,5,,,,short
171,157,2,,,,short
172,153,2,,,,short
173,130,6,,,,short
174,154,33,0.024759782411684736,0.0007804906767114594,0.991136247527288,ok
175,154,96,0.00737547223549697,0.0007085732300492661,0.9233032930193962,ok
176,154,11,0.010547742050882315,0.0030019978640366523,0.7552798923080768,ok
177,158,2,,,,short
178,139,4,,,,short
179,151,2,,,,short
180,157,2,,,,short
181,163,4,,,,short
182,160,2,,,,short
183,129,2,,,,short
184,160,2,,,,short
185,153,7,,,,short
186,130,2,,,,short
187,173,4,,,,short
188,155,2,,,,short
189,159,3,,,,short
190,139,2,,,,short
191,167,9,,,,short
192,142,2,,,,short
193,167,3,,,,short
194,162,3,,,,short
195,165,5,,,,short
196,159,5,,,,short
197,167,17,0.00778580914762734,0.0014141804776201072,0.7911817620556386,ok
198,174,7,,,,short
199,174,5,,,,short
200,172,2,,,,short
201,155,4,,,,short
202,167,4,,,,short
203,159,2,,,,short
204,176,2,,,,short
205,174,5,,,,short
206,176,4,,,,short
207,179,2,,,,short
208,167,3,,,,short
209,180,3,,,,short
210,174,2,,,,short
211,180,20,0.03711750152248384,0.00370169159855799,0.9178414084055445,ok
212,178,2,,,,short
213,164,14,0.0038130709708117175,0.002110178507939536,0.35241632551475577,ok
214,178,2,,,,short
215,168,2,,,,short
216,176,2,,,,short
217,185,2,,,,short
218,182,2,,,,short
219,185,7,,,,short
220,179,2,,,,short
221,191,3,,,,short
222,184,2,,,,short
223,181,4,,,,short
224,187,2,,,,short
225,185,2,,,,short
226,187,2,,,,short
227,194,6,,,,short
228,185,30,0.003230877376289315,0.00021189496781081463,0.9627309961634964,ok
229,191,19,0.007092501976042825,0.00012571409073769229,0.9971804148394942,ok
230,179,91,0.03636152927121515,0.0009231638749482614,0.9942322866049906,ok
231,198,3,,,,short
232,182,9,,,,short
233,189,2,,,,short
234,196,3,,,,short
235,181,2,,,,short
236,187,4,,,,short
237,182,2,,,,short
238,190,14,0.0022841429527287152,5.819790523868649e-05,0.9961200060670092,ok
239,196,2,,,,short
240,202,2,,,,short
