cell_label,area_px,perimeter_px,circularity,centroid_x,centroid_y,n_trajectories,n_points,n_valid_traj,D_median,D_mean,D_std,D_iqr,D_p25,D_p75
22,5500.0,397.5046173579947,0.43740948682142694,604.612,201.61018181818181,52,220,5.0,0.010225024138345886,0.011877671484117334,0.009314821956073796,0.016016346424089244,0.0026961871853902622,0.018712533609479505
25,4470.0,265.4041122946064,0.7974474831121434,434.0986577181208,156.86979865771812,65,277,5.0,0.013383284039948769,0.020230748346502785,0.02032892457477708,0.013658719846459388,0.00633124780467937,0.01998996765113876
27,4918.0,316.56349186104046,0.6167039539274218,476.92740951606345,194.0412769418463,47,220,5.0,0.05467885777171109,0.04464949000277938,0.028516366064892017,0.027427000491810228,0.02740285950585347,0.054829859997663696
29,5644.0,324.97770542341357,0.6715675968618747,384.96846208362865,199.52675407512402,84,345,8.0,0.006100619358493722,0.015516500920426684,0.017830982549347646,0.017450090742366503,0.002895882719339259,0.02034597346170576
30,17850.0,518.7594513539337,0.8335200286251515,244.65882352941176,252.2379831932773,149,426,5.0,0.03819439025986511,0.0320879276066315,0.026289651011195053,0.05030609009872228,0.002052447078530372,0.05235853717725265
45,20206.0,608.4406922210658,0.6858887967049673,82.90285063842423,454.2821439176482,232,661,5.0,0.015149014693862838,0.02174439082977485,0.025797196114562434,0.012438820215319139,0.0031358147081715516,0.01557463492349069
47,16608.0,555.3635277547903,0.6766630938581859,518.4620062620423,464.29774807321775,149,465,5.0,0.02753853168727815,0.03452695320451276,0.02559185424372252,0.014945385356958225,0.017439188628927405,0.03238457398588563
58,15890.0,542.7005768508881,0.6779742429632907,563.1062303335431,590.8191315292637,188,588,5.0,0.06031326235354911,0.06558702853681775,0.03521371720969626,0.030671452488103906,0.05709554219962405,0.08776699468772796
60,4729.0,322.3624817342637,0.5718606280628511,96.85282300697821,597.5132163248044,174,610,5.0,0.048818969603383125,0.11776576609240805,0.11034401891872497,0.07824290121884364,0.04566381758061996,0.1239067187994636
62,6400.0,376.0254326381661,0.568794513731521,223.14359375,617.74484375,232,829,8.0,0.012717677473141228,0.023981386232082975,0.028343183575106123,0.024956985575877735,0.004450569559279707,0.029407555135157443
63,7097.0,362.4041122946064,0.6790448113545341,322.1130054952797,617.8881217415809,163,664,7.0,0.05196067677170872,0.06603070968466918,0.04271118592295137,0.060052497266011494,0.03575712811246937,0.09580962537848087
67,4060.0,273.79393923934,0.680594189542186,151.1448275862069,648.176354679803,133,486,7.0,0.0362866778370708,0.038735315450462174,0.021472717260666466,0.03352441195015279,0.02332902734677169,0.05685343929692448
68,5679.0,320.08430714121175,0.6965510767664072,404.63514703292833,670.9304455009685,196,741,12.0,0.05807154428793575,0.06267193167672071,0.05549698332316889,0.06924822143408552,0.015401884701170342,0.08465010613525585
70,4477.0,268.1076477383248,0.7826697588761914,247.5338396247487,672.5773955773956,156,615,11.0,0.04435951619510111,0.07086145789481055,0.09683520662224128,0.05178069909165205,0.014774547926018632,0.06655524701767068
71,3559.0,233.1370849898476,0.8228394931893865,93.74796291093004,675.5049171115481,140,528,6.0,0.02664409704214559,0.1283898593004674,0.22174877050143835,0.0270605537017657,0.021601898786748248,0.048662452488513946
74,5142.0,284.9066376115481,0.7960435021017424,325.0079735511474,682.1215480357837,215,726,7.0,0.027491675671534304,0.049268066887804565,0.04944255177726994,0.08446632096479878,0.0031232027160647,0.08758952368086348
75,5813.0,327.86500705120545,0.6795478659791837,848.7670738001032,695.6069155341476,70,418,8.0,0.02802554287456814,0.03118818919693744,0.02247741712217698,0.03874082296953809,0.01302316897256117,0.05176399194209926
76,3210.0,232.27922061357856,0.7476428359013557,179.13115264797509,698.186292834891,148,509,5.0,0.06437116943606824,0.07559418964445226,0.04858695518726215,0.05709384161535979,0.033287781769115225,0.09038162338447502
77,9387.0,440.45183950935893,0.6080507460192941,904.6175561947374,750.5645041014169,98,383,7.0,0.02161807415793373,0.048221154196241754,0.052498804312848,0.03611862289687979,0.01656593360053405,0.05268455649741384
80,3520.0,245.69343417595164,0.7327661957665345,38.31193181818182,701.3380681818181,111,381,5.0,0.017636740888287865,0.020139085111989283,0.012600129898552321,0.01721160075260266,0.011437496583724173,0.028649097336326833
81,5282.0,340.64065632731587,0.5720253811450684,610.5437334343052,721.325823551685,147,589,8.0,0.042949441497262604,0.05331452786792441,0.034955043216291476,0.05842450962906425,0.02921508754045101,0.08763959716951526
82,7916.0,456.8244225113894,0.47666912416562607,339.79724608388074,772.3220060636685,344,1243,7.0,0.039389910871915436,0.054563925095270964,0.036819249021153765,0.04363555433770998,0.028612491427022668,0.07224804576473265
84,5693.0,306.492424049175,0.761573037191278,729.0876515018443,730.7602318636923,109,457,7.0,0.058252475067833924,0.0931306839693,0.10604391802743575,0.06163510616830099,0.027709146569455067,0.08934425273775606
86,4443.0,262.2081528017131,0.8120706140845023,275.1377447670493,729.631555255458,168,630,8.0,0.048537634921272124,0.09094760932798515,0.11946485271527849,0.08298822128249658,0.017352462802672476,0.10034068408516905
87,3486.0,234.20815280171308,0.7986072143672668,132.61933448078025,735.6916236374068,101,386,5.0,0.022041916887206622,0.02428127596387349,0.011375378960554223,0.003758278235351617,0.018809148668405253,0.02256742690375687
88,6417.0,337.74725804511405,0.7069004195486427,60.5365435561789,757.4799750662303,164,543,5.0,0.015434176113027772,0.027289903961924183,0.01824691585570521,0.03552054237867894,0.01113554542518138,0.04665608780386032
89,7511.0,342.1076477383248,0.8064585679833819,526.8401011849288,746.7028358407669,117,517,9.0,0.01778078412976475,0.038804147714661105,0.041132357398068045,0.05074491617461724,0.00705044669336188,0.05779536286797912
96,6494.0,331.445742854949,0.7428433807372227,90.56667693255312,814.3684939944565,175,675,6.0,0.029661415148584197,0.038701045691126264,0.03319446268716358,0.017086501552912435,0.020728014325045167,0.0378145158779576
98,5416.0,305.41525958289964,0.7296373469401375,263.7295051698671,794.6395864106352,205,938,20.0,0.06696678940494905,0.11940902206060211,0.18749256042172557,0.11020245425797151,0.00952618184802165,0.11972863610599316
101,6686.0,359.62846301849606,0.6496330663780994,490.2568052647323,829.1393957523183,150,570,6.0,0.02005606852447632,0.04788076869540702,0.06186358433863683,0.02235015126667858,0.015311574105458385,0.03766172537213697
102,4639.0,339.4274528917194,0.5059881037142495,550.905798663505,813.8366027161026,106,398,6.0,0.04100154560504356,0.06598286856961806,0.07312546013358334,0.024745557694844142,0.02375016638198997,0.04849572407683411
109,8534.0,409.0609665440988,0.640894319350971,889.26658073588,861.2041246777595,57,221,5.0,0.09077751933468492,0.08067647903507437,0.05485400098850917,0.10131298578939693,0.03037432275343166,0.1316873085428286
110,5509.0,349.30360723121805,0.5673832298741505,194.84352877110183,880.5117081139953,108,536,7.0,0.03030585535570293,0.037965453656833695,0.047527686514169575,0.025172269258871737,0.008466469647882887,0.033638738906754624
112,3754.0,280.45079348883235,0.5997783513289887,251.4954714970698,846.0458177943527,126,470,6.0,0.019270532366449433,0.05629679055028036,0.08111034578664246,0.03194910759179213,0.01041721867623363,0.04236632626802576
114,3946.0,278.7766952966369,0.6380489728779056,356.3504815002534,858.5309173846933,146,548,5.0,0.017889300269554733,0.02391338585644131,0.021189009736782564,0.011235667717943959,0.011243879896684433,0.022479547614628392
116,3365.0,253.4213562373095,0.6584283331941707,685.9610698365527,868.9604754829123,64,296,7.0,0.01668080032747801,0.01764867505449704,0.008375697355416087,0.0034804345825662497,0.015203434258073283,0.018683868840639533
120,5099.0,289.5218613006978,0.764420194439996,289.6740537360267,897.023926260051,151,534,7.0,0.04455216643107951,0.04415859939751178,0.01717193634575081,0.020634886606093195,0.03342923547933242,0.05406412208542562
127,5273.0,298.73506473629425,0.7424979030655936,487.25621088564384,927.940072065238,135,583,7.0,0.017104550674964046,0.04010015152877523,0.04988935716975693,0.031011936098238616,0.01049168194645407,0.041503618044692686
129,4250.0,292.04267658086917,0.6261900375197444,41.81035294117647,934.9976470588235,34,170,5.0,0.017494591481077664,0.026900330509169186,0.026568516223748846,0.026995197371225927,0.007419816061435237,0.034415013432661165
