cell_label,area_px,perimeter_px,circularity,centroid_x,centroid_y,n_trajectories,n_points,n_valid_traj,D_median,D_mean,D_std,D_iqr,D_p25,D_p75,cell_type
52,2293.0,198.89444430272832,0.7283977814733995,58.944177932839075,180.80287832533799,14,156,6.0,0.012450258819491852,0.013711247230318089,0.004384784694390998,0.006208829046349611,0.010167596531224916,0.016376425577574526,mitotic
58,2786.0,220.89444430272832,0.7174991483291583,669.6564967695621,177.3478104809763,35,226,5.0,0.008928827684724853,0.012077259054702295,0.005042093495323998,0.01018602867454553,0.007724377357559244,0.017910406032104774,mitotic
81,3281.0,243.51576464628795,0.6952835126897102,734.6406583358732,259.4114599207559,52,228,5.0,0.013292981160621475,0.02811090601675171,0.03435247430893474,0.009523237606770723,0.009275037617896354,0.018798275224667076,interphase
106,5374.0,319.1370849898476,0.6630602276454067,919.4095645701526,416.1371417938221,34,181,6.0,0.005723204711300962,0.013176655608108137,0.015550467939346219,0.010260090310011388,0.004164806184613477,0.014424896494624865,interphase
113,4027.0,284.27922061357856,0.6261829833911606,969.2118202135584,422.6667494412714,52,380,11.0,0.019888260308878185,0.02001999989665593,0.01146308259140161,0.007236988906930662,0.015667805795493067,0.02290479470242373,interphase
116,3683.0,272.06601717798213,0.6252633670619809,641.9918544664675,433.06136301927774,61,314,7.0,0.017775661201247465,0.025387483301228864,0.021963861381750126,0.03267612582167215,0.007991520124826039,0.04066764594649819,interphase
118,4434.0,299.3797256769669,0.621671246099119,122.25349571493008,460.39016689219665,44,247,6.0,0.009169893236209056,0.009644237602542021,0.005686518295799335,0.009063174029102613,0.004777361932639345,0.013840535961741958,interphase
121,3288.0,259.2731239591687,0.6146482817798397,682.8622262773723,451.9686739659367,62,284,7.0,0.02381388852575947,0.02989701178594988,0.034087694349008345,0.031122642624824195,0.003964109417130889,0.035086752041955084,interphase
122,2823.0,240.6223663640862,0.6127012342669181,505.01346085724407,462.5653560042508,80,300,5.0,0.015342147917988845,0.01988322750538938,0.014539925821301935,0.028730110018484963,0.0065818567617479925,0.035311966780232955,interphase
124,3031.0,270.8294731452727,0.519282815242475,855.2784559551303,472.96667766413725,26,184,6.0,0.02031966112121176,0.0218110203294601,0.012155520885565157,0.019091952565104837,0.01080608287539718,0.029898035440502017,interphase
